pi,lambda,f0,f1,f2,sdf0,sdf1,sdf2,Q,sdQ,m
0.35,0.35,0.0499100224943767,0.2486158460384906,0.7014741314671333,0.0069803941167024,0.0167324725859714,0.0177523911953209,0.204242439390152,0.0512173363672639,0.5522111972007
0.35,0.4,0.0487443139215199,0.2344041489627597,0.7168515371157221,0.0067377190714238,0.0164387612909794,0.0172825476496285,0.2480432391902027,0.0501600702315875,0.5752773056735832
0.35,0.45,0.0474576355911026,0.2207915521119724,0.7317508122969291,0.0067229284770978,0.0166045035642547,0.0173342764476919,0.2901677080729841,0.0505432835762013,0.5976262184453935
0.35,0.5,0.0459245188702826,0.2019267683079231,0.7521487128217954,0.006752614395529,0.0183181572702757,0.0195245135398492,0.3482951762059492,0.0561608280804007,0.6282230692326931
0.35,0.55,0.0447723069232692,0.18202449387653,0.7732031992001969,0.0065704560649755,0.0181754477221339,0.0193557988665557,0.4091542114471367,0.0557066943108236,0.6598047988002953
0.35,0.6,0.0436325918520373,0.1686248437890517,0.7877425643589091,0.0065534706458199,0.0160535345837557,0.0172492959370061,0.4504928767808056,0.0493563651045176,0.6816138465383637
0.35,0.65,0.0422671832041993,0.1451222194451377,0.8126105973506628,0.0064113060517087,0.0155092330136867,0.0166469615145852,0.5223661584603871,0.0476654275419587,0.7189158960259943
0.35,0.7,0.0409927518120473,0.1245173706573357,0.834489877530621,0.0062735713473776,0.0162079536242188,0.0172401699530485,0.5854551362159495,0.0496560772014863,0.7517348162959314
0.35,0.75,0.0397470632341917,0.1039927518120479,0.8562601849537615,0.006161899625785,0.0131143126945577,0.0142199520697428,0.6482746813296658,0.0404485774588583,0.7843902774306424
0.35,0.8,0.0387138215446141,0.0851142214446392,0.8761719570107461,0.0061499456434301,0.0119101931218578,0.0133996240019692,0.7059435141214676,0.037220010245685,0.8142579355161192
0.35,0.85,0.0374698825293678,0.0637658085478627,0.8987643089227685,0.0059988878311898,0.0113314337421323,0.0127046521333149,0.7712326918270429,0.0353675196175796,0.8481464633841527
0.35,0.9,0.0363339165208702,0.0411634591352165,0.9225026243439114,0.0059613733218135,0.0084913941394444,0.0102533680130529,0.8401757060734784,0.0272361562919418,0.8837539365158671
0.35,0.95,0.0351322169457639,0.0223576605848542,0.9425101224693838,0.0060067265884941,0.0068866390152068,0.0092633935471833,0.8977948012996754,0.023036671577597,0.9137651837040756
0.4,0.05,0.0509382654336419,0.3217378155461144,0.627323919020245,0.0070614048099884,0.0151173242383355,0.0157878133456612,-0.0161517120719838,0.0460224618223323,0.4409858785303675
0.4,0.1,0.0502631842039493,0.3142441889527617,0.6354926268432883,0.007045741036847,0.0160040965645764,0.0166989523061469,0.0070042489377648,0.0487071454352997,0.4532389402649325
0.4,0.15,0.0494366408397903,0.3009162709322672,0.6496470882279428,0.0068963430246197,0.015234344019044,0.0158880591056448,0.0478145463634084,0.0463567471437328,0.4744706323419142
0.4,0.2,0.0484781304673833,0.2925153711572115,0.6590064983754026,0.0067944892452615,0.0153532676055769,0.0158037007615482,0.0739757560609795,0.046510235972702,0.4885097475631039
0.4,0.25,0.0480637340664837,0.2865496125968504,0.6653866533366649,0.0068714035650121,0.0159384942976078,0.0165396708498701,0.0922874281429639,0.0484166594450858,0.4980799800049973
0.4,0.3,0.0471939515121222,0.2731144713821532,0.6796915771057223,0.0067345655692589,0.0141097091758387,0.0147532319014212,0.1334626343414158,0.0429726502530987,0.5195373656585833
0.4,0.35,0.0465336165958514,0.262616345913521,0.6908500374906278,0.0066131635502205,0.0160927630549982,0.016888650201351,0.1656173456635856,0.0490741763113474,0.5362750562359417
0.4,0.4,0.0455661084728819,0.2439005248687826,0.7105333666583342,0.0066856705779772,0.0157467489414304,0.0165769855187177,0.222732316920769,0.0480704834015787,0.5658000499875013
0.4,0.45,0.0450294926268435,0.2355378655336174,0.7194326418395425,0.0065343806108542,0.0185909555521742,0.0195268795316592,0.2483569107723076,0.0567087906360076,0.5791489627593136
0.4,0.5,0.0438617845538618,0.2162324418895283,0.7399057735566128,0.0065239283958801,0.0169987045759577,0.0179161622329592,0.3074408897775561,0.0519135713848746,0.6098586603349192
0.4,0.55,0.0428600349912525,0.1992859285178698,0.7578540364908749,0.0063958115121363,0.0167647464771731,0.0176301783691394,0.3592821794551352,0.0511596713234857,0.6367810547363124
0.4,0.6,0.0420479880029996,0.1789150212446887,0.7790369907523118,0.0064520304227318,0.0171318059995377,0.0181332052142517,0.4212069482629343,0.0523968172133272,0.6685554861284677
0.4,0.65,0.0412684328917774,0.1643481629592595,0.7943834041489605,0.0064546437367648,0.0172610979444946,0.0183358382548732,0.4656870782304415,0.0528580341438626,0.6915751062234408
0.4,0.7,0.0400899775056238,0.1400654836290919,0.8198445388652837,0.0062715549925431,0.0164462065784877,0.0174956802037974,0.5397135716070998,0.050388093360773,0.7297668082979256
0.4,0.75,0.0394113971507126,0.1175426143464142,0.8430459885028774,0.0061823709102966,0.0129462830983833,0.0141426795385057,0.6079607598100489,0.0400352457352724,0.7645689827543161
0.4,0.8,0.0381829542614349,0.0945486128467889,0.8672684328917762,0.006076349181059,0.0136142828933559,0.0150812939023334,0.6781712071981985,0.0423098596890452,0.8009026493376643
0.4,0.85,0.0372059485128722,0.0719515121219694,0.8908425393651558,0.0060962754700184,0.012321775372807,0.0137565511648091,0.7469395151212168,0.0384001019104233,0.8362638090477337
0.4,0.9,0.0361109722569361,0.0460000000000002,0.9178890277430616,0.0058399214103855,0.0085285696338835,0.010356745728243,0.8258890277430612,0.02741388499601,0.8768335416145925
0.4,0.95,0.0349367658085482,0.024120969757561,0.9409422644338936,0.0057446279633576,0.0072456443922769,0.0092973337990553,0.8927003249187715,0.0237886225836091,0.9114133966508402
0.45,0.05,0.0458725318670334,0.3278592851787045,0.6262681829542618,0.0066839545041125,0.0151476547488019,0.0155943197967246,-0.0294503874031472,0.0458896292943284,0.4394022744313927
0.45,0.1,0.0454556360909774,0.3165076230942262,0.6380367408147964,0.0065512665837635,0.0162661459594431,0.0166546660061093,0.0050214946263439,0.0491869579249956,0.4570551112221946
0.45,0.15,0.0451877030742318,0.3109205198700315,0.6438917770557351,0.0066445472944222,0.0142245626059175,0.0147438812687257,0.0220507373156719,0.0431930064805607,0.4658376655836026
0.45,0.2,0.0446550862284432,0.3004833791552118,0.6548615346163434,0.0065889684130987,0.0151278645610824,0.0156347153010333,0.0538947763059198,0.0458904444231982,0.4822923019245151
0.45,0.25,0.0445056235941018,0.2922299425143709,0.663264433891525,0.0066895463872584,0.0165913415136237,0.0171668155822707,0.0788045488627832,0.0503494986095181,0.4948966508372875
