pi,lambda,f0,f1,f2,sdf0,sdf1,sdf2,Q,sdQ,m,sdm,k2,sdk2
0.05,0.9,0.1228293177,0.0192365909,0.8579340915,0.0150004452,0.0129139873,0.0198135953,0.8194609098,0.0415732531,0.7869011372,0.029720393,0.9515490127,0.031012584
0.05,0.95,0.1168625344,0.0092832292,0.8738542364,0.0145841138,0.0090824275,0.0172058896,0.8552877781,0.0309463745,0.8107813547,0.0258088344,0.9764675005,0.0269309576
0.1,0.05,0.3595490877,0.2735189703,0.366931942,0.0218054697,0.0210711166,0.0229623474,-0.1801059985,0.0574003738,0.0689330917,0.0243909439,0.0382840438,0.0423085775
0.1,0.1,0.3355538365,0.2761271932,0.3883189703,0.0218283284,0.022505407,0.0246102969,-0.1639354161,0.0624740616,0.0853096351,0.03327566,0.0776900646,0.0453449569
0.1,0.15,0.3124891777,0.2759669833,0.411543839,0.0217062124,0.023645496,0.0261395523,-0.1403901275,0.0667994474,0.1175363159,0.0387355274,0.1204823429,0.0481626401
0.1,0.2,0.2904104724,0.273908123,0.4356814046,0.0215699445,0.0254733671,0.0281930933,-0.1121348413,0.0731257897,0.1535416771,0.0422351009,0.164956283,0.0519463297
0.1,0.25,0.2698448388,0.2682944264,0.4618607348,0.0211063391,0.0269117248,0.0302775547,-0.074728118,0.0787698003,0.1927947013,0.0454038356,0.2131922145,0.0557869909
0.1,0.3,0.2510692327,0.259831942,0.4890988253,0.0206894742,0.0285678931,0.031996366,-0.0305650587,0.0843323232,0.2336482379,0.047994549,0.2633789327,0.0589539347
0.1,0.35,0.2341394901,0.2488418145,0.5170186953,0.0201835488,0.0294838108,0.0330201895,0.0193350662,0.0875900568,0.275528043,0.0495302843,0.3148218432,0.0608403497
0.1,0.4,0.2183685079,0.2357687328,0.5458627593,0.0195223587,0.0308820438,0.034502258,0.0743252937,0.0923643666,0.318794139,0.051753387,0.3679675993,0.06357109
0.1,0.45,0.2043785304,0.2196584104,0.5759630592,0.0190420503,0.0313726183,0.0349668281,0.1366462384,0.0940653225,0.3639445889,0.0524502421,0.4234279948,0.0644270695
0.1,0.5,0.1911865284,0.2024709823,0.6063424894,0.0186135336,0.03147905,0.0353909323,0.2014005249,0.0949221288,0.4095137341,0.0530863985,0.4794026933,0.06520849
0.1,0.55,0.1795416896,0.1835595601,0.6368987503,0.0179852546,0.0321524046,0.0360577323,0.2697796301,0.0972430158,0.4553481255,0.0540865984,0.5357032059,0.066437082
0.1,0.6,0.168908198,0.1612554611,0.6698363409,0.0175573647,0.0312429471,0.035275897,0.3473254186,0.0947279002,0.5047545114,0.0529138456,0.5963913654,0.0649965352
0.1,0.65,0.1591572357,0.1409340915,0.6999086728,0.0170476938,0.0303701024,0.0344977888,0.4180404899,0.0923206547,0.5498630092,0.0517466832,0.6518002294,0.0635628554
0.1,0.7,0.1504495126,0.1202329418,0.7293175456,0.0165395027,0.0284204556,0.0327191741,0.4888516621,0.0866651979,0.5939763184,0.0490787611,0.7059866568,0.0602857228
0.1,0.75,0.142247913,0.0992206198,0.7585314671,0.0160627261,0.0268322487,0.0312490247,0.5600902274,0.0820566861,0.6377972007,0.0468735371,0.7598138826,0.0575769436
0.1,0.8,0.1348775556,0.0764644839,0.7886579605,0.0157393685,0.0239945049,0.028603393,0.6357289928,0.0735759773,0.6829869408,0.0429050895,0.8153225401,0.052702315
0.1,0.85,0.1281833292,0.0564076981,0.8154089728,0.0151593364,0.0214527198,0.0263186413,0.7025935766,0.0661794288,0.7231134591,0.039477962,0.8646118071,0.0484926151
0.1,0.9,0.1222100225,0.0370764809,0.8407134966,0.0149249905,0.0172485078,0.0228143096,0.7665605349,0.0538612441,0.7610702449,0.0342214644,0.9112358908,0.0420358148
0.1,0.95,0.1164814796,0.01802017,0.8654983504,0.0144716917,0.0121336325,0.0189205533,0.8294580105,0.0392231119,0.7982475256,0.02838083,0.9569024721,0.0348614922
0.15,0.05,0.2798930267,0.3096184954,0.4104884779,0.0203505901,0.0217880045,0.023124341,-0.2087485129,0.0602014554,0.1158688453,0.034379906,0.0273054836,0.0470169322
0.15,0.1,0.2662856036,0.3086605099,0.4250538865,0.0202685682,0.0227342771,0.0243722023,-0.1922671332,0.0637296411,0.1376598975,0.0363655424,0.0569202013,0.0495541119
0.15,0.15,0.2529140215,0.3070539615,0.440032017,0.019994502,0.0237740391,0.025630509,-0.174075906,0.0675458243,0.1600854786,0.038346756,0.0873740743,0.0521125296
0.15,0.2,0.2403779055,0.3046464884,0.4549756061,0.0197277813,0.024739936,0.0269073662,-0.1543173707,0.0711760841,0.1824766058,0.0403233967,0.1177577171,0.0547086643
0.15,0.25,0.2281122719,0.2985749313,0.4733127968,0.019420793,0.0257394676,0.0280270959,-0.1238370657,0.0746815979,0.2099727568,0.042029722,0.1550413072,0.0569853241
0.15,0.3,0.2168646838,0.2925710572,0.4905642589,0.0191382592,0.0272979801,0.0297086903,-0.0945778555,0.0799146495,0.2358502124,0.0445504803,0.1901173695,0.0604043799
0.15,0.35,0.205683954,0.2835450887,0.5107709573,0.0188794844,0.0285585006,0.0311568562,-0.0563192202,0.0842193977,0.2661572232,0.0467325393,0.2312020847,0.0633488235
0.15,0.4,0.1954504374,0.2712967008,0.5332528618,0.0185330067,0.0293528738,0.0321254694,-0.0093405399,0.0870559583,0.2998795551,0.0481871564,0.2769128006,0.0653182297
0.15,0.45,0.1861366158,0.2585866783,0.5552767058,0.0181402223,0.0309406422,0.0338634712,0.0381033492,0.0923363892,0.3329150587,0.0507952068,0.3216921775,0.0688519742
0.15,0.5,0.1769486378,0.2449592352,0.578092127,0.017695585,0.03135154,0.0342373007,0.0881736566,0.0937434007,0.3671381905,0.0513559511,0.3680810069,0.0696120528
0.15,0.55,0.1683829293,0.2250416896,0.6065753812,0.017409242,0.0320669945,0.0352526555,0.156492002,0.0963941832,0.4098630717,0.0528789832,0.4259938023,0.071676495
0.15,0.6,0.1603687078,0.2050442639,0.6345870282,0.0169777755,0.0325459104,0.0359059445,0.2244985004,0.0982173026,0.4518805424,0.0538589168,0.4829477156,0.0730047771
0.15,0.65,0.1527604099,0.1836411647,0.6635984254,0.0166498026,0.0315681377,0.0350470951,0.296316096,0.0954450034,0.4953976381,0.0525706426,0.5419343433,0.0712585449
0.15,0.7,0.1456752562,0.1613461635,0.6929785804,0.0163223393,0.0312883069,0.0347175613,0.3702862534,0.0946405758,0.5394678705,0.052076342,0.6016707377,0.0705885295
0.15,0.75,0.1388671332,0.1342124719,0.7269203949,0.0158788557,0.0308094935,0.0345664447,0.4584954511,0.0936781219,0.5903805924,0.0518496671,0.6706820013,0.0702812758
0.15,0.8,0.1327587103,0.1093128468,0.7579284429,0.0154952602,0.0281946381,0.0320293453,0.5393027493,0.0858315583,0.6368926643,0.0480440179,0.7337282645,0.0651227879
0.15,0.85,0.1267725319,0.0812656586,0.7919618095,0.0151234128,0.0243061754,0.0285121326,0.6294304924,0.0743379502,0.6879427143,0.0427681989,0.802925674,0.0579715117
0.15,0.9,0.121296051,0.0544303424,0.8242736066,0.0147950079,0.0208191258,0.0254244915,0.7154129218,0.0640472153,0.7364104099,0.0381367373,0.8686227492,0.0516936502
0.15,0.95,0.1160706073,0.0273674581,0.8565619345,0.014495097,0.0151181993,0.0209046681,0.8018270182,0.0475621644,0.7848429018,0.0313570022,0.9342721065,0.0425038432
0.2,0.05,0.2297669583,0.3322282929,0.4380047488,0.0188481714,0.0219012934,0.0231566129,-0.226451837,0.061450622,0.1570915896,0.0345317178,0.020493072,0.0503057454
0.2,0.1,0.2216225694,0.3304025994,0.4479748313,0.0189331837,0.0226611406,0.0237997124,-0.2128303674,0.0637456806,0.1720149588,0.0355675744,0.0421522167,0.0517028236
0.2,0.15,0.2135931017,0.3269383654,0.4594685329,0.0187438352,0.0235463849,0.0251752661,-0.194408198,0.0672704453,0.1892246938,0.0377052895,0.0671212926,0.0546910955
0.2,0.2,0.20577998,0.3237469133,0.4704731067,0.0184117132,0.0243463518,0.0260447841,-0.1770207198,0.0700962128,0.2057214321,0.0390313548,0.0910277808,0.0565800485
0.2,0.25,0.1985816046,0.3191552112,0.4822631842,0.0183490866,0.0256561804,0.0272650485,-0.1560472382,0.0742038288,0.2234148338,0.0408371536,0.1166407078,0.0592309677
0.2,0.3,0.1910737816,0.3113189703,0.4976072482,0.0180504308,0.026225048,0.0282727196,-0.1250306923,0.0766349971,0.246411922,0.0424055877,0.1499743641,0.0614200461
0.2,0.35,0.1841169708,0.3050765059,0.5108065234,0.0178306879,0.0279317982,0.0300283646,-0.0993464884,0.0821605336,0.2662108348,0.0450390078,0.1786486517,0.0652340337
0.2,0.4,0.1774969008,0.2959857786,0.5265173207,0.0175806288,0.0281717471,0.0303919183,-0.0654542364,0.0831548741,0.2897763934,0.0455862556,0.2127790045,0.0660238226
0.2,0.45,0.1708530367,0.2845494376,0.5445975256,0.0172820392,0.0299109917,0.0322667528,-0.0245013497,0.0888487299,0.3168962884,0.0484001292,0.2520566913,0.0700967391
0.2,0.5,0.1643607348,0.2708431392,0.564796126,0.017072092,0.031096752,0.0335380824,0.0231098475,0.092701371,0.347194189,0.0503071237,0.2959364094,0.0728585931
0.2,0.55,0.1582970257,0.2538035991,0.5878993752,0.0168232161,0.0321527987,0.034837957,0.080292177,0.0963214584,0.3818490627,0.0522569356,0.3461262268,0.0756824587
0.2,0.6,0.1522766058,0.2362659085,0.6114574856,0.016545023,0.0321247556,0.0349656411,0.1389256686,0.096500322,0.4171862284,0.0524484616,0.397304191,0.0759598412
0.2,0.65,0.1465763809,0.2135887278,0.6398348913,0.0162939829,0.0320761896,0.0350222842,0.2126574356,0.0965504276,0.4597523369,0.0525334263,0.4589516587,0.0760828935
0.2,0.7,0.1409755561,0.1906592602,0.6683651837,0.0159735364,0.0320411588,0.0350693526,0.2870466633,0.0966389461,0.5025477756,0.0526040289,0.5209312597,0.0761851456
0.2,0.75,0.1356647088,0.1655928268,0.6987424644,0.0157101782,0.0320230269,0.0351890429,0.3675568108,0.0968195865,0.5481136966,0.0527835644,0.5869232834,0.0764451624
0.2,0.8,0.1304091727,0.1366227693,0.732968058,0.0153896613,0.0307648418,0.0341958329,0.4597225194,0.0933447083,0.599452087,0.0512937494,0.6612754353,0.0742874994
0.2,0.85,0.1252427643,0.1041732817,0.770583954,0.0150502981,0.0270456068,0.0308352657,0.5622373907,0.0823905758,0.655875931,0.0462528985,0.7429927269,0.0669869567
