iter,f0,f1,f2
    124,    0.9232800000,    0.0001400000,    0.0765800000
    125,    0.9239000000,    0.0001100000,    0.0759900000
    126,    0.9248500000,    0.0001100000,    0.0750400000
    127,    0.9251200000,    0.0000900000,    0.0747900000
    128,    0.9255000000,    0.0001000000,    0.0744000000
    129,    0.9261700000,    0.0000800000,    0.0737500000
    130,    0.9260600000,    0.0000700000,    0.0738700000
    131,    0.9269400000,    0.0000600000,    0.0730000000
    132,    0.9269200000,    0.0000500000,    0.0730300000
    133,    0.9271900000,    0.0000500000,    0.0727600000
    134,    0.9275700000,    0.0000500000,    0.0723800000
    135,    0.9283200000,    0.0000500000,    0.0716300000
    136,    0.9285800000,    0.0000400000,    0.0713800000
    137,    0.9285300000,    0.0000400000,    0.0714300000
    138,    0.9291300000,    0.0000300000,    0.0708400000
    139,    0.9298200000,    0.0000400000,    0.0701400000
    140,    0.9298400000,    0.0000400000,    0.0701200000
    141,    0.9298500000,    0.0000400000,    0.0701100000
    142,    0.9299300000,    0.0000400000,    0.0700300000
    143,    0.9307300000,    0.0000500000,    0.0692200000
    144,    0.9306700000,    0.0000400000,    0.0692900000
    145,    0.9313400000,    0.0000400000,    0.0686200000
    146,    0.9313400000,    0.0000400000,    0.0686200000
    147,    0.9318100000,    0.0000500000,    0.0681400000
    148,    0.9323500000,    0.0000400000,    0.0676100000
    149,    0.9330900000,    0.0000300000,    0.0668800000
    150,    0.9329300000,    0.0000300000,    0.0670400000
    151,    0.9335800000,    0.0000100000,    0.0664100000
    152,    0.9334600000,    0.0000100000,    0.0665300000
    153,    0.9340500000,    0.0000100000,    0.0659400000
    154,    0.9350200000,    0.0000000000,    0.0649800000
    155,    0.9346500000,    0.0000000000,    0.0653500000
    156,    0.9347700000,    0.0000000000,    0.0652300000
    157,    0.9358500000,    0.0000000000,    0.0641500000
    158,    0.9362400000,    0.0000000000,    0.0637600000
    159,    0.9368800000,    0.0000000000,    0.0631200000
    160,    0.9374200000,    0.0000000000,    0.0625800000
    161,    0.9378200000,    0.0000000000,    0.0621800000
    162,    0.9379200000,    0.0000000000,    0.0620800000
    163,    0.9376600000,    0.0000000000,    0.0623400000
    164,    0.9376800000,    0.0000000000,    0.0623200000
    165,    0.9381500000,    0.0000000000,    0.0618500000
    166,    0.9382600000,    0.0000000000,    0.0617400000
    167,    0.9384700000,    0.0000000000,    0.0615300000
    168,    0.9385200000,    0.0000000000,    0.0614800000
    169,    0.9380700000,    0.0000000000,    0.0619300000
    170,    0.9380300000,    0.0000000000,    0.0619700000
    171,    0.9377000000,    0.0000000000,    0.0623000000
    172,    0.9374700000,    0.0000000000,    0.0625300000
    173,    0.9374900000,    0.0000000000,    0.0625100000
    174,    0.9373400000,    0.0000000000,    0.0626600000
    175,    0.9369900000,    0.0000000000,    0.0630100000
    176,    0.9363400000,    0.0000000000,    0.0636600000
    177,    0.9367900000,    0.0000000000,    0.0632100000
    178,    0.9370600000,    0.0000000000,    0.0629400000
    179,    0.9370600000,    0.0000000000,    0.0629400000
    180,    0.9368500000,    0.0000000000,    0.0631500000
    181,    0.9377500000,    0.0000000000,    0.0622500000
    182,    0.9384300000,    0.0000000000,    0.0615700000
    183,    0.9383600000,    0.0000000000,    0.0616400000
    184,    0.9385200000,    0.0000000000,    0.0614800000
    185,    0.9389700000,    0.0000000000,    0.0610300000
    186,    0.9389300000,    0.0000000000,    0.0610700000
    187,    0.9395400000,    0.0000000000,    0.0604600000
    188,    0.9395200000,    0.0000000000,    0.0604800000
    189,    0.9398300000,    0.0000000000,    0.0601700000
    190,    0.9401700000,    0.0000000000,    0.0598300000
    191,    0.9401700000,    0.0000000000,    0.0598300000
    192,    0.9408200000,    0.0000000000,    0.0591800000
