loops,interac_r,coms,counts,probs
0,60.0,193,2,4.1723166788359233e-05
0,60.0,194,6,0.00012516950036507772
0,60.0,195,4,8.344633357671847e-05
0,60.0,196,4,8.344633357671847e-05
0,60.0,197,6,0.00012516950036507772
0,60.0,198,1,2.0861583394179617e-05
0,60.0,199,6,0.00012516950036507772
0,60.0,200,2,4.1723166788359233e-05
0,60.0,201,4,8.344633357671847e-05
0,60.0,202,1,2.0861583394179617e-05
0,60.0,203,4,8.344633357671847e-05
0,60.0,204,3,6.258475018253886e-05
0,60.0,205,2,4.1723166788359233e-05
0,60.0,207,1,2.0861583394179617e-05
0,60.0,208,5,0.00010430791697089809
0,60.0,209,3,6.258475018253886e-05
0,60.0,210,4,8.344633357671847e-05
0,60.0,211,4,8.344633357671847e-05
0,60.0,212,3,6.258475018253886e-05
0,60.0,213,5,0.00010430791697089809
0,60.0,214,3,6.258475018253886e-05
0,60.0,215,2,4.1723166788359233e-05
0,60.0,216,1,2.0861583394179617e-05
0,60.0,217,2,4.1723166788359233e-05
0,60.0,219,2,4.1723166788359233e-05
0,60.0,221,3,6.258475018253886e-05
0,60.0,222,6,0.00012516950036507772
0,60.0,223,4,8.344633357671847e-05
0,60.0,224,1,2.0861583394179617e-05
0,60.0,225,4,8.344633357671847e-05
0,60.0,226,2,4.1723166788359233e-05
0,60.0,227,6,0.00012516950036507772
0,60.0,228,3,6.258475018253886e-05
0,60.0,229,4,8.344633357671847e-05
0,60.0,230,6,0.00012516950036507772
0,60.0,231,5,0.00010430791697089809
0,60.0,232,7,0.00014603108375925734
0,60.0,233,2,4.1723166788359233e-05
0,60.0,234,5,0.00010430791697089809
0,60.0,235,6,0.00012516950036507772
0,60.0,236,6,0.00012516950036507772
0,60.0,237,6,0.00012516950036507772
0,60.0,238,2,4.1723166788359233e-05
0,60.0,239,2,4.1723166788359233e-05
0,60.0,240,9,0.00018775425054761655
0,60.0,241,4,8.344633357671847e-05
0,60.0,242,5,0.00010430791697089809
0,60.0,243,1,2.0861583394179617e-05
0,60.0,244,6,0.00012516950036507772
0,60.0,245,2,4.1723166788359233e-05
0,60.0,246,6,0.00012516950036507772
0,60.0,247,4,8.344633357671847e-05
0,60.0,248,5,0.00010430791697089809
0,60.0,249,4,8.344633357671847e-05
0,60.0,250,4,8.344633357671847e-05
0,60.0,251,4,8.344633357671847e-05
0,60.0,252,2,4.1723166788359233e-05
0,60.0,253,2,4.1723166788359233e-05
0,60.0,254,2,4.1723166788359233e-05
0,60.0,255,6,0.00012516950036507772
0,60.0,256,7,0.00014603108375925734
0,60.0,257,3,6.258475018253886e-05
0,60.0,258,7,0.00014603108375925734
0,60.0,259,8,0.00016689266715343693
0,60.0,260,4,8.344633357671847e-05
0,60.0,261,4,8.344633357671847e-05
0,60.0,262,5,0.00010430791697089809
0,60.0,263,1,2.0861583394179617e-05
0,60.0,264,10,0.00020861583394179617
0,60.0,265,2,4.1723166788359233e-05
0,60.0,266,4,8.344633357671847e-05
0,60.0,267,3,6.258475018253886e-05
0,60.0,268,6,0.00012516950036507772
0,60.0,269,10,0.00020861583394179617
0,60.0,270,4,8.344633357671847e-05
0,60.0,271,8,0.00016689266715343693
0,60.0,272,5,0.00010430791697089809
0,60.0,273,6,0.00012516950036507772
0,60.0,274,6,0.00012516950036507772
0,60.0,275,4,8.344633357671847e-05
0,60.0,276,8,0.00016689266715343693
0,60.0,277,7,0.00014603108375925734
0,60.0,278,8,0.00016689266715343693
0,60.0,279,5,0.00010430791697089809
0,60.0,280,5,0.00010430791697089809
0,60.0,281,2,4.1723166788359233e-05
0,60.0,282,4,8.344633357671847e-05
0,60.0,283,5,0.00010430791697089809
0,60.0,284,2,4.1723166788359233e-05
0,60.0,285,2,4.1723166788359233e-05
0,60.0,286,3,6.258475018253886e-05
0,60.0,287,2,4.1723166788359233e-05
0,60.0,288,6,0.00012516950036507772
0,60.0,289,7,0.00014603108375925734
0,60.0,290,7,0.00014603108375925734
0,60.0,291,3,6.258475018253886e-05
0,60.0,292,6,0.00012516950036507772
0,60.0,293,13,0.00027120058412433503
0,60.0,294,5,0.00010430791697089809
0,60.0,295,9,0.00018775425054761655
0,60.0,296,13,0.00027120058412433503
0,60.0,297,11,0.0002294774173359758
0,60.0,298,5,0.00010430791697089809
0,60.0,299,7,0.00014603108375925734
0,60.0,300,7,0.00014603108375925734
0,60.0,301,7,0.00014603108375925734
0,60.0,302,10,0.00020861583394179617
0,60.0,303,4,8.344633357671847e-05
0,60.0,304,2,4.1723166788359233e-05
0,60.0,305,5,0.00010430791697089809
0,60.0,306,3,6.258475018253886e-05
0,60.0,307,4,8.344633357671847e-05
0,60.0,308,5,0.00010430791697089809
0,60.0,309,11,0.0002294774173359758
0,60.0,310,2,4.1723166788359233e-05
0,60.0,311,3,6.258475018253886e-05
