loops,interac_r,coms,prob,dprob
0,60.0,46.4284214730868,0.00026341984911285786,4.112129629248653e-05
0,60.0,49.86514930988189,0.00011964138450425506,2.6746926328872435e-05
0,60.0,53.55627085314941,0.00017823303697314357,3.14967046436341e-05
0,60.0,57.52061685148686,9.853230088755417e-05,2.2600284259787343e-05
0,60.0,61.77841194447143,9.174141174011893e-05,2.1042662812543467e-05
0,60.0,66.35137784135492,7.193141358673956e-05,1.7979787985161193e-05
0,60.0,71.26284413725898,5.4416268719159794e-05,1.5090267191896898e-05
0,60.0,76.53786733221456,8.184487620817731e-05,1.78560202363931e-05
0,60.0,82.20335866023714,5.443149403363283e-05,1.4051905357699458e-05
0,60.0,88.2882213805743,4.054404138166269e-05,1.1702560303118348e-05
0,60.0,94.82349823153581,8.808269952590899e-05,1.6641099543649564e-05
0,60.0,101.84252979916114,3.221900057413091e-05,9.713255752207872e-06
0,60.0,109.38112460866368,5.18155097337476e-05,1.1884886869584825e-05
0,60.0,117.4777418063957,7.871448570449403e-05,1.413286937087772e-05
0,60.0,126.17368736431004,6.146857014756073e-05,1.2051638973809784e-05
0,60.0,135.51332480788247,9.465313722741078e-05,1.4427854443710875e-05
0,60.0,145.54430154255073,6.353529427129298e-05,1.1407506589669474e-05
0,60.0,156.3177919333049,3.625715701809896e-05,8.31627849628632e-06
400,47.5,1.4142135623730951,0.4738219895287958,0.018064555260622835
400,47.5,2.449489742783178,0.14136125654450263,0.012604445929486473
400,47.5,3.4641016151377544,0.11125654450261781,0.011376385814435697
400,47.5,4.47213595499958,0.04450261780104712,0.007460378309146078
400,47.5,5.477225575051661,0.05235602094240838,0.008058593346187854
400,47.5,6.48074069840786,0.01963350785340314,0.00501933867783322
400,47.5,7.483314773547883,0.030104712041884817,0.00618205670239892
400,47.5,8.48528137423857,0.0274869109947644,0.005915126221665382
400,47.5,9.486832980505138,0.011780104712041885,0.0039035045746968963
400,47.5,10.366744891245558,0.019275854088378307,0.005769897476933006
400,47.5,11.14107849684917,0.008152787572732599,0.0036340871086065593
400,47.5,11.97325017400342,0.006068918296765514,0.003026505113343242
400,47.5,12.867580079416593,0.002823556434243492,0.0019939408961388337
400,47.5,13.828711059566595,0.0065682800027204065,0.0029277963482622657
400,47.5,15.971707497116302,0.006824380899714069,0.0027750803172032373
400,47.5,17.164698159434256,0.007408413690772505,0.0027872598961869374
400,47.5,18.4467980619906,0.004923935634287993,0.0021948334667791247
400,47.5,19.82466313005505,0.0018326837781822783,0.0012942058075021095
400,47.5,21.30544644655548,0.0017053075427224402,0.0012042551757387927
400,47.5,22.89683538677024,0.0007933921415920353,0.0007928727358790212
400,47.5,24.607091526759024,0.00221474804246191,0.001276172401206031
400,47.5,26.445093532714054,0.0006869391193764306,0.0006864894046837932
400,47.5,30.54321525838782,0.0017843081459671703,0.0010281462123335717
400,47.5,32.82461006899293,0.001106862760898438,0.0007816450553643194
400,47.5,35.27641137537215,0.0005149664763199964,0.0005146293460211323
400,47.5,50.57181171416513,0.00035921531476598695,0.00035898014923193313
400,47.5,67.46022780444528,0.00026928710225898464,0.0002691108095381194
400,47.5,77.91434946759244,0.00023315563034696465,0.0002330029916200665
400,47.5,83.73408360636238,0.00021695071446162687,0.00021680868451876944
400,47.5,111.6970138821321,0.00016263791333186162,0.00016253144005476595
400,47.5,129.00638579707697,0.0001408160468255037,0.00014072385955092538
400,47.5,160.127409077253,0.00011344821831486636,0.00011337394778755086
800,42.5,1.4142135623730951,0.5261194029850746,0.02156722295399219
800,42.5,2.449489742783178,0.15111940298507462,0.015470381488756717
800,42.5,3.4641016151377544,0.08395522388059702,0.011978427769760328
800,42.5,4.47213595499958,0.05223880597014925,0.009610891784705403
800,42.5,5.477225575051661,0.03731343283582089,0.008186394401349988
800,42.5,6.48074069840786,0.03171641791044776,0.007569391271856062
800,42.5,7.483314773547883,0.026119402985074626,0.006888934964797715
800,42.5,8.48528137423857,0.020522388059701493,0.006123910144894336
800,42.5,9.486832980505138,0.007462686567164179,0.0037173942879017707
800,42.5,10.339307660851723,0.01081347724630958,0.005386526445403459
800,42.5,11.052852533022689,0.01011538585167734,0.005038785596382996
800,42.5,11.815641155481623,0.002365590378507419,0.002363382640855667
800,42.5,12.631071978749299,0.008851494815429356,0.004409202499680076
800,42.5,14.434642899258362,0.0019363809155777368,0.0019345737468073967
800,42.5,15.430818442170521,0.00905686472109512,0.004031417200349391
800,42.5,16.495742877536912,0.003388870357741293,0.002391818336008185
800,42.5,20.1521148672295,0.0013869991917700025,0.0013857047452054403
800,42.5,21.542869325708136,0.0012974579481828087,0.0012962470678927155
800,42.5,24.618941786188337,0.0022706879341974494,0.0016026204791102885
800,42.5,28.134241799835426,0.0009934857044367601,0.0009925585127233975
800,42.5,32.1514859788032,0.0008693522610970808,0.0008685409195660626
800,42.5,36.742346141747674,0.0007607289672105321,0.0007600190006842272
800,42.5,41.98872801369202,0.0013313557402448186,0.00093965266744217
800,42.5,44.88648892244159,0.000622703350257568,0.0006221221990807936
800,42.5,54.83582567132817,0.0005097209113041222,0.0005092452033971254
800,42.5,81.83929696421028,0.0003415347891554694,0.0003412160445324559
800,42.5,130.56967103431668,0.00021406936857455542,0.00021386958377267985
