pi1,pi2,f0,f1,f2,Q,Qs,niter
0.11,0.27,0.10715467,0.08033729,0.81250804,0.65183346,0.73217075,8.0
0.11,0.29,0.10688178,0.07881337,0.81430485,0.65667811,0.73549148,8.0
0.11,0.31,0.10661112,0.07735075,0.81603813,0.6613366300000001,0.73868738,8.0
0.11,0.33,0.10634265,0.07594557,0.81771178,0.66582064,0.74176621,8.0
0.11,0.35,0.10607628,0.07459433,0.81932939,0.6701407300000001,0.74473506,8.0
0.11,0.37,0.10581195,0.07329381,0.82089424,0.67430662,0.74760043,8.0
0.11,0.39,0.10554963,0.07204105,0.82240932,0.67832722,0.7503682700000001,8.0
0.11,0.41,0.10528924,0.07083334,0.82387742,0.6822107399999999,0.75304408,8.0
0.11,0.43,0.10503074,0.06966817,0.82530109,0.6859647499999999,0.7556329199999999,8.0
0.11,0.45,0.10477409,0.06854321,0.82668269,0.68959627,0.7581394800000001,8.0
0.11,0.47,0.10451924,0.06745633,0.82802442,0.69311176,0.76056809,8.0
0.11,0.49,0.10426616,0.06640553,0.82932831,0.69651725,0.7629227799999999,8.0
0.13,0.01,0.1109491,0.12812904,0.76092186,0.50466378,0.6327928199999999,9.0
0.13,0.03,0.11062894,0.12457067,0.76480039,0.51565905,0.64022972,9.0
0.13,0.05,0.11031359,0.12123524,0.76845117,0.5259806899999999,0.64721593,9.0
0.13,0.07,0.1100027,0.11810003,0.77189727,0.5356972099999999,0.65379724,9.0
0.13,0.09,0.10969597,0.11514555,0.77515848,0.54486738,0.6600129299999999,9.0
0.13,0.11,0.10939312,0.11235497,0.7782519,0.55354196,0.6658969299999999,9.0
0.13,0.13,0.10909394,0.10971367,0.7811924,0.56176506,0.67147873,9.0
0.13,0.15,0.1087982,0.10720881,0.78399299,0.56957537,0.67678418,9.0
0.13,0.17,0.10850574,0.10482912,0.78666514,0.5770069,0.68183602,9.0
0.13,0.19,0.10821639,0.10256461,0.789219,0.58408978,0.68665439,9.0
0.13,0.21,0.10793,0.10040641,0.79166358,0.59085076,0.6912571700000001,9.0
0.13,0.23,0.10764645,0.0983466,0.79400695,0.59731375,0.69566035,8.0
0.13,0.25,0.10736561,0.09637806,0.79625633,0.60350021,0.6998782699999999,8.0
0.13,0.27,0.10708738,0.0944944,0.79841822,0.6094294199999999,0.70392382,8.0
0.13,0.29,0.10681165,0.09268984,0.8004985,0.61511882,0.70780866,8.0
0.13,0.31,0.10653835,0.09095916,0.8025025,0.62058418,0.71154334,8.0
0.13,0.33,0.10626738,0.08929759,0.80443504,0.62583986,0.71513745,8.0
0.13,0.35,0.10599866,0.0877008,0.80630054,0.63089894,0.7185997399999999,8.0
0.13,0.37,0.10573214,0.08616484,0.80810302,0.63577334,0.72193818,8.0
0.13,0.39,0.10546773,0.08468608,0.80984618,0.64047402,0.7251601,8.0
0.13,0.41,0.10520539,0.0832612,0.81153341,0.64501101,0.72827221,8.0
0.13,0.43,0.10494505,0.08188712,0.81316783,0.6493935900000001,0.7312807100000001,8.0
0.13,0.45,0.10468666,0.08056103,0.81475231,0.65363025,0.73419128,8.0
0.13,0.47,0.10443018,0.07928032,0.8162895,0.65772886,0.73700918,8.0
0.13,0.49,0.10417555,0.07804257,0.81778188,0.66169674,0.7397393099999999,8.0
0.15,0.01,0.11094481,0.14778481,0.74127038,0.44570076000000003,0.59348557,9.0
0.15,0.03,0.11061671,0.14358262,0.74580067,0.45863543000000007,0.6022180500000001,9.0
0.15,0.05,0.11029417,0.13965581,0.75005001,0.47073839000000006,0.6103942,9.0
0.15,0.07,0.10997674,0.13597464,0.75404863,0.48209935,0.61807399,9.0
0.15,0.09,0.10966402,0.13251386,0.75782213,0.49279440999999996,0.62530827,9.0
0.15,0.11,0.10935568,0.12925189,0.76139243,0.50288865,0.63214054,9.0
0.15,0.13,0.10905145,0.12617013,0.76477843,0.51243817,0.6386083,9.0
0.15,0.15,0.10875105,0.1232524,0.76799655,0.52149175,0.64474415,9.0
0.15,0.17,0.10845428,0.12048457,0.77106115,0.53009201,0.65057658,9.0
0.15,0.19,0.10816093,0.11785423,0.77398484,0.53827638,0.65613061,9.0
0.15,0.21,0.10787082,0.11535038,0.77677879,0.5460780300000001,0.6614284100000001,9.0
0.15,0.23,0.10758381,0.11296327,0.77945292,0.55352638,0.6664896499999999,9.0
0.15,0.25,0.10729975,0.11068418,0.78201608,0.56064772,0.6713319,8.0
0.15,0.27,0.1070185,0.10850531,0.78447619,0.56746557,0.67597088,8.0
0.15,0.29,0.10673996,0.10641965,0.78684039,0.5740010899999999,0.68042074,8.0
0.15,0.31,0.10646401,0.10442086,0.78911512,0.5802733999999999,0.6846942599999999,8.0
0.15,0.33,0.10619057,0.10250321,0.79130622,0.5862997999999999,0.68880301,8.0
0.15,0.35,0.10591954,0.10066147,0.79341899,0.5920960500000001,0.69275752,8.0
0.15,0.37,0.10565083,0.09889091,0.79545826,0.59767644,0.69656735,8.0
0.15,0.39,0.10538438,0.09718718,0.79742844,0.60305408,0.70024126,8.0
0.15,0.41,0.10512011,0.09554632,0.79933357,0.60824093,0.7037872500000001,8.0
0.15,0.43,0.10485796,0.09396468,0.80117736,0.613248,0.7072126799999999,8.0
0.15,0.45,0.10459787,0.0924389,0.80296323,0.61808543,0.71052433,8.0
0.15,0.47,0.10433978,0.09096589,0.80469433,0.62276255,0.71372844,8.0
0.15,0.49,0.10408363,0.08954281,0.80637356,0.62728794,0.7168307500000001,8.0
0.17,0.01,0.1109403,0.16742219,0.72163752,0.38679314000000004,0.55421533,9.0
0.17,0.03,0.11060388,0.16254566,0.72685046,0.40175913999999996,0.5643047999999999,9.0
0.17,0.05,0.11027386,0.15800367,0.73172246,0.41571511999999994,0.5737187899999999,9.0
0.17,0.07,0.10994966,0.15375789,0.73629245,0.42877666999999997,0.58253456,9.0
0.17,0.09,0.1096308,0.14977618,0.74059302,0.44104066000000003,0.59081684,9.0
0.17,0.11,0.10931686,0.14603137,0.74465177,0.45258903000000006,0.5986204,9.0
0.17,0.13,0.10900748,0.14250023,0.74849229,0.46349182999999994,0.6059920599999999,9.0
0.17,0.15,0.10870236,0.13916273,0.75213491,0.47380944999999997,0.61297218,9.0
0.17,0.17,0.10840123,0.1360015,0.75559727,0.48359427,0.61959577,9.0
0.17,0.19,0.10810385,0.13300137,0.75889478,0.49289204,0.62589341,9.0
0.17,0.21,0.10781002,0.130149,0.76204099,0.5017429900000001,0.6318919900000001,9.0
0.17,0.23,0.10751954,0.12743259,0.76504787,0.5101826899999999,0.6376152799999999,9.0
0.17,0.25,0.10723226,0.12484169,0.76792606,0.51824268,0.64308437,8.0
0.17,0.27,0.10694801,0.12236694,0.77068505,0.52595117,0.64831811,8.0
0.17,0.29,0.10666667,0.12,0.77333333,0.53333333,0.65333333,8.0
0.17,0.31,0.10638811,0.11773333,0.77587857,0.54041191,0.6581452400000001,8.0
0.17,0.33,0.10611221,0.11556014,0.77832765,0.54720737,0.66276751,8.0
0.17,0.35,0.10583889,0.11347428,0.78068683,0.5537382700000001,0.66721255,8.0
0.17,0.37,0.10556803,0.11147017,0.7829618,0.5600214600000001,0.67149163,8.0
0.17,0.39,0.10529956,0.10954271,0.78515773,0.56607231,0.67561502,8.0
0.17,0.41,0.1050334,0.10768726,0.78727934,0.57190482,0.6795920799999999,8.0
0.17,0.43,0.10476947,0.10589956,0.78933096,0.57753184,0.6834314,8.0
0.17,0.45,0.1045077,0.10417571,0.79131659,0.58296517,0.68714088,8.0
0.17,0.47,0.10424804,0.1025121,0.79323987,0.58821567,0.69072777,8.0
0.17,0.49,0.10399041,0.10090542,0.79510418,0.59329334,0.69419876,8.0
0.19,0.01,0.11093553,0.18703968,0.70202479,0.3279454299999999,0.5149851099999999,9.0
0.19,0.03,0.11059041,0.1814563,0.7079533,0.34504070000000003,0.526497,9.0
0.19,0.05,0.11025261,0.17627417,0.71347321,0.36092486999999995,0.53719904,9.0
0.19,0.07,0.10992143,0.17144455,0.71863402,0.37574492,0.54718947,9.0
0.19,0.09,0.10959626,0.16692709,0.72347665,0.38962247000000005,0.5565495600000001,9.0
