time,f0,f1,f2
1.6481037897031998,0.767,0.111,0.122
1.6490612839753132,0.766,0.111,0.123
1.653865117963391,0.765,0.112,0.123
1.6544869897591463,0.764,0.113,0.123
1.6665139157623634,0.763,0.113,0.124
1.6669482710256438,0.762,0.114,0.124
1.6691253468808347,0.763,0.113,0.124
1.672469320549634,0.762,0.113,0.125
1.6755795331760706,0.761,0.113,0.126
1.6791112967862338,0.76,0.113,0.127
1.679118895388424,0.759,0.114,0.127
1.6847873588797064,0.758,0.115,0.127
1.702202815606423,0.759,0.115,0.126
1.7097036833757642,0.758,0.116,0.126
1.7103003797002367,0.759,0.116,0.125
1.7165136163732797,0.76,0.115,0.125
1.720770413448018,0.759,0.115,0.126
1.7231610180125492,0.758,0.115,0.127
1.729881458981058,0.757,0.115,0.128
1.735314362411939,0.756,0.116,0.128
1.7465162013765345,0.755,0.116,0.129
1.7467076883489854,0.754,0.117,0.129
1.7471712563254764,0.753,0.117,0.13
1.754694253000122,0.752,0.118,0.13
1.7599711660676558,0.751,0.118,0.131
1.7667905210482764,0.75,0.118,0.132
1.7823552113863537,0.749,0.118,0.133
1.7898773733110547,0.748,0.119,0.133
1.7937908364617103,0.749,0.118,0.133
1.797548346102526,0.75,0.118,0.132
1.7979377074213123,0.749,0.118,0.133
1.7989738687862784,0.748,0.118,0.134
1.803593595189841,0.747,0.118,0.135
1.8049036359599109,0.746,0.119,0.135
1.808514005355718,0.747,0.119,0.134
1.8154231897683215,0.748,0.119,0.133
1.8225585842630352,0.747,0.119,0.134
1.834760997071718,0.746,0.12,0.134
1.838470834778534,0.745,0.121,0.134
1.8392605364728405,0.744,0.121,0.135
1.8408339591741143,0.743,0.121,0.136
1.8558546631817676,0.742,0.122,0.136
1.8572938245622592,0.741,0.123,0.136
1.8643776474905895,0.74,0.124,0.136
1.86633309849187,0.739,0.124,0.137
1.8688889101589357,0.738,0.124,0.138
1.8697220687478102,0.739,0.123,0.138
1.8727554003360716,0.738,0.123,0.139
1.8779515153850297,0.737,0.123,0.14
1.8816085791318373,0.736,0.124,0.14
1.8818666142337588,0.735,0.125,0.14
1.9045188945462082,0.736,0.125,0.139
1.9101341193504762,0.735,0.126,0.139
1.9112041868215142,0.734,0.127,0.139
1.9236301886770266,0.733,0.128,0.139
1.9316388707275487,0.732,0.128,0.14
1.932830182591267,0.731,0.128,0.141
1.934983412658812,0.73,0.128,0.142
1.9385744476476583,0.729,0.129,0.142
1.952257707092563,0.728,0.129,0.143
1.9535475517478726,0.729,0.129,0.142
1.9586446835043507,0.73,0.129,0.141
1.959795628725201,0.729,0.13,0.141
1.9618333333088396,0.728,0.13,0.142
1.9645886008751137,0.727,0.13,0.143
1.9692232239183236,0.726,0.13,0.144
1.979555693401254,0.725,0.13,0.145
1.9829527677116878,0.724,0.13,0.146
1.9917956201958327,0.723,0.13,0.147
1.9978978785861474,0.724,0.13,0.146
2.0045895063710266,0.723,0.13,0.147
2.0251107196619973,0.722,0.131,0.147
2.038121242064195,0.721,0.132,0.147
2.0705534525405924,0.72,0.133,0.147
2.0764475797875064,0.719,0.133,0.148
2.082413360747562,0.718,0.133,0.149
2.103164874450399,0.719,0.132,0.149
2.1047982127157017,0.718,0.132,0.15
2.107106076369979,0.717,0.133,0.15
2.118719347602464,0.716,0.133,0.151
2.12685206958815,0.715,0.133,0.152
2.1277200335020985,0.714,0.134,0.152
2.1283266751011185,0.713,0.135,0.152
2.1293613044775985,0.714,0.134,0.152
2.1369189137775115,0.713,0.134,0.153
2.1425086376395277,0.712,0.135,0.153
2.142552517977192,0.711,0.136,0.153
2.145625831812461,0.71,0.136,0.154
2.1457382622185572,0.709,0.136,0.155
2.14601816029556,0.708,0.137,0.155
2.154047156832365,0.707,0.137,0.156
2.1554163043025656,0.706,0.138,0.156
2.1616154214400676,0.705,0.138,0.157
2.1650621720490486,0.704,0.138,0.158
2.1701790955725775,0.705,0.137,0.158
2.1794912657637155,0.706,0.137,0.157
2.188451194439597,0.705,0.137,0.158
2.1979183569102583,0.704,0.137,0.159
2.2074040920197717,0.703,0.138,0.159
2.2106424020932063,0.702,0.139,0.159
2.2114584309394254,0.701,0.14,0.159
2.2121565494624598,0.7,0.14,0.16
2.21997330308698,0.699,0.14,0.161
2.2260710458406305,0.7,0.14,0.16
2.2299214706126897,0.699,0.141,0.16
2.2303814383025915,0.698,0.141,0.161
2.234224075231467,0.699,0.14,0.161
2.236569142764025,0.698,0.14,0.162
2.2478528186710247,0.697,0.14,0.163
2.2590541767473997,0.696,0.141,0.163
2.265864184880905,0.695,0.141,0.164
2.2689096135864917,0.694,0.141,0.165
2.269552937644114,0.693,0.141,0.166
2.269693208399422,0.692,0.141,0.167
2.285773497093814,0.691,0.142,0.167
2.289993088661354,0.692,0.141,0.167
2.290407042144083,0.691,0.142,0.167
2.303872679120106,0.692,0.142,0.166
2.3049575853083337,0.691,0.142,0.167
2.308741223284314,0.69,0.142,0.168
2.3132497493909856,0.691,0.142,0.167
2.3244170206111288,0.69,0.142,0.168
2.3314980241268395,0.689,0.143,0.168
2.333119418534868,0.688,0.143,0.169
2.334678783569077,0.687,0.144,0.169
2.3480070535625326,0.686,0.144,0.17
2.3522826515654653,0.685,0.145,0.17
2.3649346600388794,0.686,0.145,0.169
2.366009653781198,0.685,0.145,0.17
2.3675299287390907,0.684,0.146,0.17
2.370636998885546,0.683,0.146,0.171
2.3742160003401245,0.682,0.147,0.171
2.3748717423711163,0.681,0.147,0.172
2.3768126288919036,0.68,0.147,0.173
2.3811084381102536,0.679,0.147,0.174
2.3863833306958075,0.678,0.147,0.175
2.3965883697139385,0.677,0.148,0.175
2.405223865390904,0.676,0.149,0.175
2.4079299252870205,0.675,0.15,0.175
2.4097690777019505,0.674,0.151,0.175
2.4126960956035295,0.675,0.15,0.175
2.4149330525126995,0.674,0.151,0.175
2.4154748040709975,0.673,0.152,0.175
2.421705981233248,0.674,0.151,0.175
2.4232361173597408,0.673,0.151,0.176
2.4235675473630582,0.672,0.151,0.177
2.423859471653479,0.671,0.152,0.177
2.424163166743878,0.67,0.152,0.178
2.4249003535364797,0.669,0.152,0.179
2.426779783328825,0.668,0.153,0.179
2.441034952643656,0.667,0.154,0.179
2.4419544982588284,0.666,0.155,0.179
2.4436641884783983,0.665,0.155,0.18
2.4447715239865118,0.664,0.155,0.181
2.4493044789952925,0.665,0.155,0.18
2.4498492759207653,0.664,0.155,0.181
2.4594614969300825,0.663,0.156,0.181
2.460336291566297,0.664,0.156,0.18
2.463172227681159,0.663,0.157,0.18
2.4637127917759636,0.662,0.157,0.181
2.4648293106075876,0.661,0.157,0.182
2.494764565819836,0.66,0.157,0.183
2.506795998316398,0.659,0.158,0.183
2.509917901895905,0.658,0.159,0.183
2.5123910114380767,0.657,0.159,0.184
2.514083759002643,0.658,0.158,0.184
2.522265906399222,0.657,0.158,0.185
2.522899913007972,0.656,0.158,0.186
2.5282631490797103,0.657,0.157,0.186
2.542351991736073,0.658,0.156,0.186
2.5454819369312256,0.657,0.157,0.186
2.5459546239155784,0.656,0.157,0.187
2.54983245567918,0.655,0.157,0.188
2.5526939403051103,0.654,0.157,0.189
2.559958179539043,0.653,0.158,0.189
2.560891755436267,0.652,0.158,0.19
2.5628691394864043,0.651,0.159,0.19
2.579409722061047,0.65,0.159,0.191
2.5798199391295946,0.649,0.16,0.191
2.5809475284156247,0.648,0.16,0.192
2.5963017102115327,0.647,0.161,0.192
2.6011765280848,0.646,0.161,0.193
2.608672383804245,0.645,0.161,0.194
2.6107678172260864,0.644,0.161,0.195
2.6135896667616083,0.643,0.162,0.195
2.626472263102306,0.644,0.161,0.195
2.6335473813205943,0.643,0.161,0.196
2.6416205329404874,0.642,0.162,0.196
2.6471752522957277,0.641,0.163,0.196
2.650442439165104,0.64,0.163,0.197
2.655742823507264,0.639,0.163,0.198
2.6603902829462123,0.638,0.164,0.198
2.6621869673529654,0.639,0.164,0.197
2.667044547417679,0.638,0.164,0.198
2.6698101621608936,0.637,0.164,0.199
2.681160336539344,0.636,0.164,0.2
2.684550096038978,0.637,0.164,0.199
2.6863912395699656,0.636,0.164,0.2
2.6889878898606585,0.635,0.165,0.2
2.6961708664114443,0.636,0.164,0.2
2.6966297498421086,0.635,0.165,0.2
2.703716641865348,0.634,0.166,0.2
2.705896227146704,0.633,0.167,0.2
2.7081822009913257,0.632,0.167,0.201
2.7083284684038444,0.633,0.166,0.201
2.7127574282407174,0.634,0.165,0.201
2.714417123556239,0.633,0.165,0.202
2.721956608043756,0.632,0.166,0.202
2.7250400417955905,0.633,0.166,0.201
2.728309032205641,0.632,0.167,0.201
2.729595039847377,0.631,0.168,0.201
2.734180521527152,0.63,0.169,0.201
2.734482699132056,0.631,0.169,0.2
2.735174572420033,0.63,0.17,0.2
2.7395638374690057,0.629,0.171,0.2
2.7422270945896083,0.628,0.171,0.201
2.7425561066864406,0.629,0.17,0.201
2.7448061905061,0.628,0.171,0.201
2.749675850517736,0.627,0.172,0.201
2.765212763032903,0.626,0.173,0.201
2.766178571163902,0.627,0.173,0.2
2.768806929452534,0.626,0.173,0.201
2.7715462003030495,0.627,0.172,0.201
2.7746765281161325,0.626,0.172,0.202
2.775372230803535,0.625,0.173,0.202
2.7764412949038,0.626,0.173,0.201
2.781525372545435,0.627,0.173,0.2
2.7880357415510257,0.626,0.173,0.201
2.798133594979274,0.625,0.173,0.202
2.8063826875269764,0.624,0.173,0.203
2.811153280361969,0.623,0.173,0.204
2.811510028832188,0.624,0.172,0.204
2.813024805422148,0.623,0.172,0.205
2.8162789558573453,0.622,0.173,0.205
2.821820507788587,0.623,0.172,0.205
2.8234629585527187,0.624,0.172,0.204
2.8384022099411252,0.623,0.172,0.205
2.8390092771342768,0.622,0.173,0.205
2.840946332118125,0.623,0.173,0.204
2.8510963183027735,0.622,0.174,0.204
2.853316761630326,0.621,0.175,0.204
2.86011805083356,0.62,0.176,0.204
2.8713191297657965,0.619,0.176,0.205
2.878662085281307,0.618,0.177,0.205
2.8826316944365824,0.617,0.177,0.206
2.8892059413867224,0.616,0.177,0.207
2.8929144133446636,0.615,0.178,0.207
2.8955397291344647,0.616,0.177,0.207
2.904466759476076,0.617,0.177,0.206
2.9077926493293433,0.616,0.177,0.207
2.912678325886219,0.615,0.177,0.208
2.9145664061421463,0.616,0.176,0.208
2.9178056093204248,0.615,0.177,0.208
2.9201374748276376,0.614,0.178,0.208
2.9254652599631426,0.613,0.178,0.209
2.930759466583471,0.612,0.179,0.209
2.9327714721954052,0.611,0.18,0.209
2.9344282346747694,0.61,0.18,0.21
2.9555036406716293,0.609,0.18,0.211
2.955659873116973,0.608,0.18,0.212
2.9647552724259385,0.607,0.181,0.212
2.9757424869592213,0.606,0.181,0.213
2.9779379033937783,0.605,0.181,0.214
2.9794527280239627,0.604,0.182,0.214
2.9848092393809504,0.603,0.183,0.214
2.9865114375215245,0.602,0.184,0.214
3.0065370615264646,0.601,0.184,0.215
3.008109347289285,0.6,0.185,0.215
3.0088453212671116,0.601,0.184,0.215
3.0095537811088433,0.6,0.185,0.215
3.0141244515106367,0.599,0.185,0.216
3.0162610228566415,0.598,0.186,0.216
3.0191477723623708,0.597,0.187,0.216
3.0211567753008497,0.598,0.186,0.216
3.0222629924245217,0.597,0.186,0.217
3.028715053499248,0.596,0.186,0.218
3.032828933866888,0.595,0.187,0.218
3.0355098356794623,0.594,0.188,0.218
3.0370485050094698,0.593,0.188,0.219
3.041385012507378,0.592,0.188,0.22
3.047617570243541,0.593,0.187,0.22
3.049714970044661,0.592,0.187,0.221
3.060350130326772,0.591,0.187,0.222
3.0632147508360243,0.59,0.187,0.223
3.0632383604236515,0.591,0.187,0.222
3.071191405202813,0.592,0.187,0.221
3.072100217063218,0.591,0.187,0.222
3.0833757829271953,0.59,0.188,0.222
3.0879184610089085,0.589,0.189,0.222
3.0933090287903786,0.588,0.189,0.223
3.093637623796856,0.587,0.19,0.223
3.107212582531218,0.586,0.19,0.224
3.110054455850303,0.585,0.191,0.224
3.116990950178105,0.586,0.191,0.223
3.1277709694324374,0.585,0.192,0.223
3.1309819631122227,0.584,0.193,0.223
3.134965966410506,0.583,0.193,0.224
3.149081891531839,0.584,0.193,0.223
3.15003312325111,0.583,0.193,0.224
3.154075880082099,0.582,0.193,0.225
3.1598176797056072,0.581,0.193,0.226
3.1683616686884704,0.582,0.192,0.226
3.170542659904227,0.581,0.192,0.227
3.174717926543483,0.58,0.192,0.228
3.1777170921009334,0.579,0.193,0.228
3.183092844062862,0.578,0.194,0.228
3.184231880577026,0.577,0.195,0.228
3.198689719544993,0.576,0.195,0.229
3.201244192253916,0.575,0.195,0.23
3.2033917478265113,0.576,0.195,0.229
3.2137328578740054,0.575,0.195,0.23
3.2139675603160547,0.576,0.194,0.23
3.215302083841316,0.575,0.194,0.231
3.223820961041826,0.574,0.194,0.232
3.2257326289854173,0.575,0.194,0.231
3.229376033750824,0.574,0.194,0.232
3.230801796628186,0.573,0.194,0.233
3.2330323464652215,0.572,0.194,0.234
3.248042386536126,0.573,0.194,0.233
3.248088649012377,0.574,0.193,0.233
3.2500008556576576,0.573,0.193,0.234
3.265299118749735,0.572,0.194,0.234
3.2814086462847,0.573,0.193,0.234
3.283282061617501,0.572,0.193,0.235
3.284527889531796,0.571,0.194,0.235
3.299425234787131,0.57,0.195,0.235
3.300523944694329,0.569,0.196,0.235
3.3042472793612347,0.568,0.197,0.235
3.30567887312008,0.567,0.197,0.236
3.3085782740875844,0.568,0.197,0.235
3.3128560237612805,0.569,0.196,0.235
3.316813703137926,0.568,0.197,0.235
3.3194712895154037,0.569,0.197,0.234
3.3321400761256226,0.568,0.197,0.235
3.3370722947073106,0.567,0.197,0.236
3.3429034547072676,0.566,0.197,0.237
3.348730991535392,0.565,0.197,0.238
3.350581329005792,0.564,0.197,0.239
3.3549744740918217,0.563,0.197,0.24
3.3566174051400037,0.562,0.198,0.24
3.357901347002972,0.561,0.198,0.241
3.366416708012889,0.56,0.198,0.242
3.3677592440207573,0.559,0.199,0.242
3.3837499302992615,0.56,0.198,0.242
3.3848111732572685,0.561,0.198,0.241
3.386138823702612,0.562,0.197,0.241
3.3899235707519915,0.561,0.198,0.241
3.390185171445454,0.562,0.197,0.241
3.3902687834509453,0.561,0.198,0.241
3.392515600255151,0.562,0.197,0.241
3.4073033060943136,0.561,0.198,0.241
3.4124913386128948,0.56,0.198,0.242
3.412988398568573,0.559,0.198,0.243
3.4175292054269484,0.56,0.198,0.242
3.4216957310893252,0.559,0.199,0.242
3.425301339454643,0.56,0.198,0.242
3.446729907591819,0.559,0.198,0.243
3.450016320704946,0.558,0.199,0.243
3.456088049207756,0.557,0.199,0.244
3.4616584555939816,0.558,0.198,0.244
3.4710543273904064,0.559,0.197,0.244
3.475656959237994,0.558,0.198,0.244
3.477715541907828,0.557,0.198,0.245
3.484490088677984,0.558,0.198,0.244
3.486585528929834,0.557,0.198,0.245
3.4968270910316326,0.556,0.199,0.245
3.5102468088315804,0.555,0.199,0.246
3.523055900569317,0.554,0.199,0.247
3.523341474018032,0.553,0.2,0.247
3.5273752630201356,0.554,0.199,0.247
3.5305705756882855,0.555,0.199,0.246
3.5401392374879674,0.554,0.2,0.246
3.5436564237488013,0.553,0.201,0.246
3.544248034520584,0.552,0.202,0.246
3.5518385556588457,0.551,0.202,0.247
3.5625376424330013,0.552,0.201,0.247
3.5735739506199447,0.551,0.201,0.248
3.5735833856942385,0.55,0.202,0.248
3.5746202221975834,0.549,0.203,0.248
3.576986715237886,0.548,0.203,0.249
3.5930373081727693,0.549,0.203,0.248
3.5967928871541637,0.548,0.204,0.248
3.599121880271587,0.547,0.205,0.248
3.6011071254398987,0.546,0.205,0.249
3.602368502634157,0.547,0.204,0.249
3.611315340337691,0.546,0.204,0.25
3.6155167423790826,0.545,0.205,0.25
3.6217363129104054,0.544,0.205,0.251
3.6302643714263625,0.543,0.206,0.251
3.631934540391702,0.542,0.206,0.252
3.6406209730513663,0.541,0.207,0.252
3.640744757199887,0.54,0.208,0.252
3.6444139465894274,0.541,0.208,0.251
3.647084932717131,0.54,0.209,0.251
3.6592976783720106,0.541,0.209,0.25
3.671362251803484,0.54,0.21,0.25
3.6813561046752636,0.539,0.21,0.251
3.682534525856282,0.538,0.21,0.252
3.682932971062426,0.537,0.211,0.252
3.6877586000881326,0.536,0.212,0.252
3.6892513667244353,0.537,0.212,0.251
3.6967866385386157,0.536,0.212,0.252
3.7044432289502147,0.537,0.212,0.251
3.707912399451206,0.536,0.212,0.252
