pi,lambda,f0,f1,f2,sdf0,sdf1,sdf2,Q,sdQ,m,sdm,k2,sdk2,k0,k1,sdk0,sdk1
0.15,0.3,0.2024687328,0.2583940915,0.5391371757,0.0186435812,0.0260168548,0.0291731544,0.0223489928,0.0769370716,0.3087057636,0.0437597317,0.2442111095,0.0610980966,0.436024855,0.1328983035,0.102611741,0.0777668939
0.15,0.35,0.1912778505,0.2463060535,0.562416096,0.0182456341,0.026580524,0.0298589948,0.069803989,0.0790444048,0.343624144,0.0447884922,0.2929658647,0.0625365378,0.4976182691,0.1697853199,0.100420532,0.0849823187
0.15,0.4,0.181115991,0.2313151912,0.5875688178,0.0179247044,0.0273217931,0.030726054,0.1249384354,0.0816612723,0.3813532267,0.046089081,0.3456456066,0.0643525024,0.5535476464,0.218761682,0.09865535,0.0903969358
0.15,0.45,0.1714414196,0.214824094,0.6137344864,0.0175985852,0.0275784727,0.0312703148,0.1840862984,0.082930756,0.4206017296,0.0469054722,0.4004468594,0.0654923997,0.6067952872,0.2738163221,0.0968604304,0.0928697916
0.15,0.5,0.1624616046,0.1974377306,0.6401006648,0.0170780805,0.027427533,0.0311803725,0.2452252037,0.0827462544,0.4601509973,0.0467705588,0.4556680591,0.065304025,0.6562190755,0.3324869759,0.0939956367,0.0926790324
0.15,0.55,0.1539309973,0.1786895576,0.6673794451,0.0166896411,0.027324419,0.0312354146,0.3100003299,0.0827623609,0.5010691677,0.0468531218,0.5128006078,0.0654193048,0.7031704802,0.395861677,0.0918577148,0.0923715798
0.15,0.6,0.146131907,0.1588757111,0.6949923819,0.0163144689,0.0269622947,0.031007052,0.3772409598,0.0819376595,0.5424885729,0.046510578,0.5706330122,0.0649410233,0.7460957055,0.4628490644,0.0897928134,0.0911568229
0.15,0.65,0.1387527518,0.1387743564,0.7224728918,0.0159818725,0.0264110086,0.0306314088,0.444924179,0.0805559271,0.5837093377,0.0459471132,0.6281880624,0.0641542781,0.7867096606,0.5308105093,0.0879622439,0.0892943625
0.15,0.7,0.1318034191,0.1169465634,0.7512500175,0.0155551032,0.0246936119,0.0289617864,0.5173568908,0.0754392441,0.6268750262,0.0434426795,0.6884587387,0.0606574287,0.8249579256,0.6046092382,0.0856133588,0.0834879261
0.15,0.75,0.1255207498,0.0962432092,0.778236041,0.0151518714,0.0230214725,0.0274709302,0.5857496226,0.0706025976,0.6673540615,0.0412063953,0.7449781389,0.0575349866,0.8595369584,0.6746062927,0.0833940209,0.0778345024
0.15,0.8,0.1196973857,0.0761302774,0.8041723369,0.0148065855,0.0208734807,0.0255392762,0.6519117821,0.0642845792,0.7062585054,0.0383089143,0.7992989947,0.0534893395,0.8915880324,0.7426071573,0.0814936099,0.0705722444
0.15,0.85,0.1142148263,0.0565113722,0.8292738015,0.014450763,0.0180755346,0.0231175228,0.7162510572,0.0560888597,0.7439107023,0.0346762842,0.8518713838,0.0484172306,0.9217633592,0.8089377418,0.0795352073,0.0611125218
0.15,0.9,0.1092568458,0.0365613697,0.8541817846,0.0141361998,0.0150601893,0.0207108573,0.7810590452,0.0474131876,0.7812726768,0.031066286,0.9040385458,0.0433767218,0.9490514689,0.8763877502,0.0778038906,0.050917783
0.15,0.95,0.1044862584,0.0178484479,0.8776652937,0.0138208603,0.010469705,0.0173501961,0.8419683979,0.0343328399,0.8164979405,0.0260252942,0.9532222965,0.0363381689,0.97530819,0.9396552476,0.0760683009,0.035397574
0.2,0.05,0.2186125169,0.3149064334,0.4664810497,0.018644432,0.0215166083,0.0231351841,-0.163331817,0.0607311052,0.1997229993,0.0346982406,0.0467301358,0.0350939389,0.1297347163,0.0545626908,0.0962229434,0.0412533075
0.2,0.1,0.2102023694,0.3103904624,0.4794071682,0.0184509254,0.0222200105,0.0240730311,-0.1413737566,0.0634037254,0.219112162,0.0361045126,0.0641877286,0.0437652777,0.1627731496,0.0591266526,0.1118524288,0.0445026965
