pi1,pi2,f0,f1,f2,sdf0,sdf1,sdf2,Q,sdQ,m,sdm,k0,k1,k2,sdk0,sdk1,sdk2
0.01,0.25,0.1419896454,0.019596101,0.8384142536,0.0608745315,0.0442601648,0.0743974477,0.7992220516,0.1447318092,0.757661656,0.1113724228,0.771481099,1.214488489,0.7209713636,0.3256094169,1.2998606956,0.3166532988
0.01,0.27,0.1405855679,0.0191932017,0.8402212304,0.0607364506,0.0443661032,0.0745460119,0.801834827,0.145270773,0.7603652658,0.1116329127,0.7633144831,1.2546054597,0.7138976658,0.347439793,1.3976055499,0.3353914708
0.01,0.29,0.1389616882,0.0196779377,0.8413603742,0.0602689828,0.0431512306,0.073344699,0.8020044989,0.1415832132,0.7620534152,0.1099455998,0.7584533983,1.295342831,0.7034771119,0.3666399297,1.413536556,0.349186916
0.01,0.31,0.1374232156,0.018637912,0.8439388724,0.0601712921,0.0421133559,0.0726518241,0.8066630485,0.1386899503,0.765909594,0.1089697972,0.7562187619,1.3136868481,0.7022822855,0.3866557495,1.4614119319,0.3674571724
0.01,0.33,0.1358763166,0.0177561324,0.846367551,0.0594280005,0.0401237079,0.0708827395,0.8108552862,0.1329254881,0.7695772485,0.1061718551,0.7527489913,1.3139827107,0.70159961,0.4086119387,1.4566383021,0.3790837807
0.01,0.35,0.1336994323,0.015972007,0.8503285607,0.058986306,0.0368891499,0.0690234169,0.8183845467,0.1244941121,0.7754941265,0.1035273596,0.7629872516,1.2991012247,0.7101287209,0.4221657,1.3733843669,0.3946184023
0.01,0.37,0.1324634556,0.0169918949,0.8505446496,0.0587067165,0.0392057716,0.0699573097,0.8165608598,0.1304288066,0.7758566073,0.1046902654,0.7669984177,1.3766183375,0.7089484888,0.441798826,1.5710020482,0.4160222326
0.01,0.39,0.1307694505,0.0153318813,0.8538986682,0.0582725668,0.0359067568,0.0676498632,0.8232349056,0.12113587,0.7808480023,0.1014747948,0.7728040245,1.348642998,0.7206302534,0.4697090355,1.472089191,0.4242251587
0.01,0.41,0.1293503767,0.0150145321,0.8556350912,0.0579193787,0.0344630878,0.0664666649,0.8256060271,0.1169203587,0.7834526368,0.0996999973,0.7902559287,1.3601244451,0.7255299635,0.4826703275,1.4552339993,0.4412502295
0.01,0.43,0.1275975292,0.0145830685,0.8578194023,0.0577133681,0.0343822703,0.0664505454,0.8286532653,0.116953847,0.7867291034,0.0996758182,0.8127796684,1.3817566719,0.7407363586,0.5034859035,1.5319085488,0.4678342031
0.01,0.45,0.1265106581,0.0142418681,0.8592474738,0.057210364,0.0346271445,0.0662404947,0.8307637376,0.1175227329,0.7889076302,0.0991269985,0.8284626608,1.3973700543,0.7578871707,0.5295099811,1.6389998286,0.4877564803
0.01,0.47,0.1249673296,0.0131032956,0.8619293748,0.0568286886,0.0323339615,0.064792993,0.8357227836,0.1113925784,0.7928959903,0.0971771126,0.8491942708,1.3851731353,0.7821130432,0.5664509071,1.5598017264,0.5006199028
0.01,0.49,0.1235116935,0.0126712608,0.8638170457,0.056458743,0.0308512865,0.0637902033,0.8384745242,0.1074392947,0.7957255686,0.095685305,0.8866578795,1.3932153311,0.802985925,0.5882389334,1.5164544385,0.5223466624
0.03,0.01,0.1730844432,0.2855534688,0.541362088,0.0682136817,0.2759562474,0.2842166644,-0.0297448495,0.8306276103,0.538147606,0.2060022721,0.883979505,1.1266056713,0.5838616578,0.1082882317,0.9449397963,0.3129819364
0.03,0.03,0.1680549863,0.191000964,0.6409440497,0.0668464658,0.2041966179,0.2140711376,0.2589421216,0.6154023142,0.5416569429,0.2046801411,0.8732546519,0.9101758476,0.6499399178,0.1244946041,0.7704913738,0.2672996859
0.03,0.05,0.164912629,0.148955047,0.6861323241,0.0665300056,0.1665965869,0.1780190441,0.3882222302,0.5027388919,0.5649677581,0.2022180222,0.8603944674,0.8527565251,0.6669879661,0.1430839732,0.6827255954,0.255949853
0.03,0.07,0.1618119756,0.1226196308,0.7155683936,0.0654420351,0.1412275892,0.1542177773,0.470329132,0.4271480309,0.592045203,0.1907839483,0.8483568362,0.8088380233,0.6752904465,0.1605480881,0.6470539414,0.2481643837
0.03,0.09,0.1588788517,0.1121521048,0.7289690435,0.0648488473,0.1318644384,0.1451000808,0.5046648338,0.3988492637,0.6057427786,0.1891751352,0.836825685,0.8342074111,0.6649553471,0.1797119506,0.6610601081,0.2579899938
