arena_r,interac_r,pi1,pi2,q1,q2,lambda,f0,f1,f2,sdf0,sdf1,sdf2,Q,sdQ,m,sdm,k0,k1,k2,sdk0,sdk1,sdk2
20,1,0.4,0.2,7,10,0.05,0.1801376799,0.4781403221,0.3417219981,0.0649102799,0.0840585874,0.079853684,-0.6145586461,0.2304305108,0.2401635305,0.1029137291,0.7079375054,0.1388125724,0.1142160068,0.5600881456,0.1055501542,0.0876056003
20,1,0.4,0.2,7,10,0.1,0.1877297818,0.4733603742,0.338909844,0.0658409799,0.0839295261,0.0797945748,-0.6078109044,0.2295570633,0.2333965794,0.1025569228,0.730186365,0.1394253171,0.1148760015,0.5816070498,0.1056635969,0.08703593
20,1,0.4,0.2,7,10,0.15,0.1969951798,0.4690768736,0.3339279466,0.0670129229,0.0838240826,0.0787761757,-0.6042258007,0.2275839512,0.2263476988,0.1024852873,0.7696641146,0.1399889313,0.1141375171,0.6158280356,0.1065627484,0.0865578506
20,1,0.4,0.2,7,10,0.2,0.2066062056,0.4626933267,0.3307004677,0.0685600629,0.0844499224,0.0792164517,-0.5946861856,0.2285071347,0.218186739,0.1025715629,0.8267796316,0.143357987,0.1155980393,0.6601409632,0.1085229807,0.0874327247
20,1,0.4,0.2,7,10,0.25,0.2172244082,0.4577648445,0.3250107473,0.0697309801,0.0838374931,0.078369489,-0.5905189417,0.2255501335,0.2100189238,0.1021995606,0.89845423,0.1447940974,0.1162613694,0.7092148357,0.1089681765,0.0876598796
20,1,0.4,0.2,7,10,0.3,0.2291120077,0.4498893848,0.3209986075,0.0708718803,0.084209779,0.0787697959,-0.5787801621,0.2260887363,0.2003313457,0.1010117217,0.9958316543,0.1497356171,0.1183142546,0.7610761722,0.1124384064,0.0893025069
20,1,0.4,0.2,7,10,0.35,0.2421718856,0.4425085157,0.3153195987,0.0722272462,0.0840930383,0.0784498825,-0.5696974328,0.2246317799,0.1905002321,0.0996232271,1.1180329408,0.1546979378,0.1210227967,0.8202766542,0.1155987863,0.0902565876
20,1,0.4,0.2,7,10,0.4,0.2575991716,0.4317359232,0.3106649052,0.0739112367,0.083534413,0.0780075472,-0.5528069411,0.2218057244,0.1778326847,0.0963891945,1.2820160266,0.1631481823,0.1233055711,0.8843447993,0.1203923933,0.0912442999
20,1,0.4,0.2,7,10,0.45,0.2747520263,0.4224902346,0.3027577391,0.0755583848,0.0831724224,0.0773509445,-0.54222273,0.2191740813,0.1672269076,0.0937252095,1.4806312708,0.172430372,0.1278259495,0.9453682529,0.1246418053,0.0938885631
20,1,0.4,0.2,7,10,0.5,0.293649302,0.4118241868,0.2945265112,0.0767994893,0.082712105,0.0765110139,-0.5291218624,0.2163636672,0.1572207662,0.0896219337,1.7135590252,0.1844463986,0.1338543359,0.9957276038,0.13009354,0.0963593076
20,1,0.4,0.2,7,10,0.55,0.3168312208,0.3984432463,0.2847255329,0.0787767964,0.0832277384,0.0766526631,-0.5121609598,0.2162786713,0.1495150498,0.0856839663,2.0133814846,0.2032192156,0.1435424019,1.0522033739,0.1375775627,0.1008899378
20,1,0.4,0.2,7,10,0.6,0.343004963,0.3841665298,0.2728285072,0.0803439613,0.0819880459,0.0750991937,-0.4955045524,0.2105744536,0.1453368801,0.0815618931,2.3639651312,0.2238837842,0.1553116867,1.0919698275,0.1429249503,0.104860247
20,1,0.4,0.2,7,10,0.65,0.3730664477,0.3652378334,0.2616957189,0.0815482646,0.0811273336,0.0742634702,-0.4687799479,0.2067240084,0.1482482951,0.0812710659,2.7737714551,0.2555907758,0.168838997,1.119095039,0.1489128183,0.1086698018
