arena_r,interac_r,pi1,pi2,q1,q2,lambda,f0,f1,f2,sdf0,sdf1,sdf2,Q,sdQ,m,sdm,k0,k1,k2,sdk0,sdk1,sdk2
20.0,4.5,0.3,0.3,7,10,0.6,0.1907778055,0.2846365551,0.5245856393,0.069820257,0.0971861216,0.1062845512,-0.044687471,0.2842715853,0.3032989253,0.1380638513,0.9209539923,0.2704566239,0.2188211553,0.721609628,0.1911692656,0.1623656114
20.0,4.5,0.3,0.3,7,10,0.7,0.2075554683,0.2648595708,0.5275849609,0.0725446467,0.100311827,0.111043341,-0.0021341807,0.2946883015,0.3072926411,0.1448395832,1.042350493,0.307978689,0.2301302185,0.8163887463,0.2079667354,0.169488738
20.0,4.5,0.3,0.3,7,10,0.8,0.2385425072,0.2406309851,0.5208265077,0.079521736,0.10322876,0.1173148359,0.0395645374,0.3042662658,0.2998335059,0.1502599167,1.3717480886,0.3598769899,0.238606797,1.0134665606,0.225869814,0.1752702215
20.0,4.5,0.3,0.3,7,10,0.9,0.2917694862,0.1994225729,0.5088079409,0.0876796778,0.1051420066,0.1248822051,0.109962795,0.3126344399,0.2898798515,0.1533916813,2.0655675642,0.4551943919,0.2475423256,1.2696672491,0.2511658925,0.1845405704
20.0,5.0,0.3,0.3,7,10,0.0,0.1640500232,0.3444424251,0.4915075517,0.0625735181,0.080294712,0.0842933669,-0.1973772985,0.2284046177,0.257943407,0.1046099202,0.7848919364,0.18502109,0.1651402038,0.5846614515,0.1420104846,0.1239848405
20.0,5.0,0.3,0.3,7,10,0.1,0.1612932481,0.3369271254,0.5017796265,0.0627837462,0.0835948898,0.088437533,-0.1720746242,0.2398095657,0.2721089192,0.1110417604,0.790676818,0.1939427286,0.1744922978,0.58383648,0.1476595217,0.1307241188
20.0,5.0,0.3,0.3,7,10,0.2,0.1595603242,0.3294349627,0.5110047131,0.06304025,0.0874126795,0.0930217151,-0.1478652123,0.2526990926,0.2857095012,0.1173412522,0.7953615809,0.2056869473,0.1865124439,0.5867747139,0.1549829533,0.1391301319
20.0,5.0,0.3,0.3,7,10,0.3,0.1590718392,0.318507873,0.5224202878,0.0636769199,0.0913262492,0.0977999392,-0.1145954583,0.2657590767,0.3014588317,0.1249853701,0.804789581,0.2212482458,0.201531618,0.5916579396,0.1643771072,0.1497140794
20.0,5.0,0.3,0.3,7,10,0.4,0.1600800514,0.3088890634,0.5310308851,0.0643356413,0.0948887617,0.1022001417,-0.0867472418,0.2776323467,0.3138013889,0.1316384884,0.811058316,0.2372662821,0.2156399856,0.5986727536,0.1738790688,0.1594352831
20.0,5.0,0.3,0.3,7,10,0.5,0.1616035634,0.2975119434,0.5408844932,0.0652714379,0.0989111997,0.1070442413,-0.0541393937,0.2907838376,0.3281058842,0.138601108,0.8208268354,0.2584881994,0.2330357084,0.6081399631,0.184862544,0.1700587968
20.0,5.0,0.3,0.3,7,10,0.6,0.1670819438,0.2814245367,0.5514935195,0.066807602,0.1021985845,0.1114130864,-0.011355554,0.30162795,0.3423884743,0.1462755439,0.8360748275,0.2858608528,0.250846478,0.6287295896,0.1993180511,0.181535312
20.0,5.0,0.3,0.3,7,10,0.7,0.174814225,0.2605384725,0.5646473025,0.0686500379,0.1066024197,0.11723427,0.0435703574,0.3162126218,0.3609639554,0.1554125366,0.8622215692,0.327745181,0.2759249129,0.6621829876,0.2182069034,0.195435615
20.0,5.0,0.3,0.3,7,10,0.8,0.1906949691,0.2305948513,0.5787101796,0.0715527528,0.1096957319,0.1226962456,0.117520477,0.3272956381,0.3802545435,0.1646887172,0.9386502459,0.3909101942,0.303408359,0.7393549648,0.2402861172,0.2088557185
20.0,5.0,0.3,0.3,7,10,0.9,0.2192638626,0.1893207769,0.5914153604,0.0780302915,0.1136658134,0.1311239771,0.2127738065,0.3419393837,0.398848395,0.1766600848,1.1788880344,0.4905104693,0.3354536122,0.9212557971,0.2664104229,0.2240722429
20.0,5.5,0.3,0.3,7,10,0.0,0.1640660549,0.3435496126,0.4923843325,0.0627213011,0.0801239543,0.0844168438,-0.1947148927,0.2281003631,0.2588271146,0.1050322984,0.7871130203,0.1849109389,0.1654596506,0.5855495903,0.1413527789,0.1240691559
20.0,5.5,0.3,0.3,7,10,0.1,0.1596672261,0.3370466669,0.503286107,0.0625524173,0.0842599228,0.0890022018,-0.1708072268,0.2419441536,0.274492734,0.111828894,0.7894076298,0.1956167863,0.1759715579,0.5818294017,0.1485880142,0.1317789968
20.0,5.5,0.3,0.3,7,10,0.2,0.1566084907,0.3272962474,0.5160952619,0.0627219183,0.0886561022,0.0943793685,-0.1384972328,0.2569313998,0.2929116649,0.119475061,0.7973955779,0.2098332458,0.1915351627,0.5828550237,0.1572190022,0.1425274523
20.0,5.5,0.3,0.3,7,10,0.3,0.1541717428,0.3182960688,0.5275321884,0.0630167774,0.092015296,0.0984637922,-0.1090599493,0.2682238149,0.3085522191,0.1264124659,0.8075192923,0.2228036834,0.2059406003,0.5854310012,0.1657935601,0.1530854126
20.0,5.5,0.3,0.3,7,10,0.4,0.1518093334,0.3063633377,0.5418273289,0.0630947308,0.0964496841,0.1035669484,-0.0708993466,0.282898741,0.3288070125,0.134495303,0.8153575159,0.2437146802,0.2274457519,0.5874214163,0.176674598,0.1663117438
20.0,5.5,0.3,0.3,7,10,0.5,0.1520931196,0.2937100011,0.5541968794,0.0638204113,0.1005206646,0.1088139291,-0.0332231228,0.2966508853,0.3468234013,0.1421114076,0.822881276,0.2660191279,0.2492073883,0.5946476073,0.1898785094,0.1797779925
20.0,5.5,0.3,0.3,7,10,0.6,0.1518527511,0.2741792409,0.573968008,0.0642887383,0.1060519403,0.1154118503,0.0256095262,0.3149217143,0.3749647231,0.1525910152,0.8292577405,0.3045348901,0.2842167112,0.5992958372,0.2088046642,0.1991906582
20.0,5.5,0.3,0.3,7,10,0.7,0.1552811083,0.2532828222,0.5914360696,0.0655631432,0.1102540492,0.1205703974,0.0848704253,0.3285579751,0.3998581783,0.1610381265,0.8352115451,0.3477416088,0.3176645971,0.6101958656,0.2269007757,0.2142656673
20.0,5.5,0.3,0.3,7,10,0.8,0.1621370372,0.2194346413,0.6184283215,0.0674443569,0.1150305924,0.1275476624,0.1795590388,0.3451086193,0.4378656407,0.1737602395,0.8461965095,0.4234481686,0.3709780788,0.6305184615,0.2526137191,0.2371457035
20.0,5.5,0.3,0.3,7,10,0.9,0.1765892813,0.1707232478,0.652687471,0.0720163144,0.1152039483,0.1322714942,0.3112409755,0.3489215438,0.4863638376,0.1839033503,0.9047071199,0.5397720196,0.4407899201,0.6996288572,0.2733797032,0.2569958039
20.0,6.0,0.3,0.3,7,10,0.0,0.1639020959,0.3436390902,0.4924588139,0.0626129082,0.0803183724,0.0844868493,-0.1948193666,0.2286472748,0.2590833363,0.1049507603,0.785608195,0.1853822939,0.1656609915,0.5847285443,0.1416624666,0.1240886906
20.0,6.0,0.3,0.3,7,10,0.1,0.1592653265,0.3367230335,0.5040116399,0.0624170276,0.0846057621,0.0895870591,-0.1694344271,0.2433815168,0.2756020281,0.1125758084,0.7888877598,0.1966027167,0.1772617058,0.5797286921,0.1490796757,0.1328156358
20.0,6.0,0.3,0.3,7,10,0.2,0.1547718071,0.327264184,0.517964009,0.0624809745,0.0887546774,0.0946192908,-0.1365643589,0.2575170729,0.2951857393,0.1204323876,0.7987815683,0.2100230793,0.1927156048,0.5809788409,0.1574638392,0.1438696309
20.0,6.0,0.3,0.3,7,10,0.3,0.1515275467,0.3164374621,0.5320349913,0.0625065871,0.0929850499,0.0997598569,-0.1008399329,0.2718809618,0.315387296,0.1279351497,0.8079862452,0.2264742726,0.2118405224,0.5836515262,0.1679157783,0.1567317895
20.0,6.0,0.3,0.3,7,10,0.4,0.1475787482,0.3041358232,0.5482854286,0.0624900982,0.0980651947,0.1055033936,-0.0599862177,0.2885889255,0.3384605277,0.1370624654,0.8225963839,0.2488481009,0.2367004204,0.5866068921,0.1811168653,0.1729792453
