pi1,pi2,q1,q2,lambda,f0,f1,f2,sdf0,sdf1,sdf2,Q,sdQ,m,sdm,k0,k1,k2,sdk0,sdk1,sdk2
0.3,0.3,7,8,0.8,0.1422540793,0.2704720249,0.5872738958,0.060113737,0.1602073428,0.1676174649,0.0463298461,0.4806848,0.4364837362,0.1826618869,1.0511720641,0.4376440754,0.4401653102,0.7065960711,0.2637550509,0.2657941757
0.3,0.3,7,8,0.85,0.1396347342,0.236742243,0.6236230228,0.0597832443,0.1628591432,0.1705733987,0.1501385368,0.4891588532,0.4806139537,0.1920002559,1.0713864391,0.4988749411,0.50392635,0.7144402888,0.2782567683,0.2820177728
0.3,0.3,7,8,0.9,0.1368511444,0.2015242618,0.6616245939,0.0590841263,0.1790216626,0.1871686677,0.2585760703,0.5388942352,0.5445199414,0.1993068026,1.0899018103,0.5978064157,0.5990215251,0.7209792987,0.2922915521,0.2949286025
0.3,0.3,7,8,0.95,0.1337979791,0.149134145,0.7170678759,0.0584360473,0.1870232117,0.1961861951,0.4187995858,0.5643612464,0.625246367,0.2033413855,1.1156890777,0.7241376731,0.7197706125,0.7261442526,0.294842587,0.3025029233
0.3,0.3,7,9,0.0,0.1719470132,0.3618134752,0.4662395116,0.0636396446,0.0809512373,0.0840572237,-0.2573874389,0.2289442263,0.233137787,0.0972522655,0.818116453,0.1792895654,0.1593839258,0.6390931987,0.1335799038,0.1184008439
0.3,0.3,7,9,0.05,0.1698646767,0.3587335309,0.4714017924,0.0636701428,0.082267803,0.085633609,-0.2460652694,0.2334513209,0.2393221337,0.0997997887,0.8216753847,0.1826372999,0.1626259078,0.6366384502,0.1354825339,0.1210680019
0.3,0.3,7,9,0.1,0.1666840433,0.3561284679,0.4771874888,0.0631882184,0.0853147718,0.0890092806,-0.2350694469,0.2438321471,0.2483434498,0.1040195068,0.8209688203,0.1899571366,0.1701934697,0.6302442852,0.1403836755,0.1264693589
0.3,0.3,7,9,0.15,0.1649537616,0.3543846181,0.4806616203,0.0632428516,0.0882323296,0.0926083685,-0.228107616,0.2538489256,0.2552984968,0.10719393,0.822867185,0.1970421,0.1780449813,0.6340332603,0.144945906,0.1320105473
0.3,0.3,7,9,0.2,0.162365123,0.3487992288,0.4888356482,0.0628091552,0.0907660747,0.0949806605,-0.2087628093,0.2619253319,0.2656951833,0.1113230219,0.8254644821,0.2039722042,0.1853358929,0.6286735172,0.150275225,0.1378918647
0.3,0.3,7,9,0.25,0.1596872211,0.3464726675,0.4938401114,0.0626600983,0.092534761,0.0971013847,-0.1991052237,0.2679730451,0.272718249,0.1143835256,0.8335488003,0.2086442335,0.1915466964,0.6269538156,0.1537537954,0.1427860829
0.3,0.3,7,9,0.3,0.1564669547,0.3394904845,0.5040425608,0.0621548075,0.0947165566,0.0996980918,-0.1749384083,0.2755359231,0.285619845,0.1188406307,0.837822531,0.2171433672,0.2031543472,0.6274681614,0.1586538686,0.1498743405
0.3,0.3,7,9,0.35,0.1545081587,0.3329439069,0.5125479344,0.0619806117,0.1000253941,0.1056732252,-0.1533398793,0.2929979111,0.2988797443,0.1265095833,0.8453448915,0.2332860322,0.2199392815,0.6268538914,0.1684287663,0.1620697045
0.3,0.3,7,9,0.4,0.1514996251,0.3237765559,0.524723819,0.0613472136,0.1015842123,0.1075002945,-0.1228292927,0.2984260241,0.3133789767,0.1313801451,0.8489648793,0.2440587812,0.2343657525,0.6301616961,0.174177271,0.1705934249
0.3,0.3,7,9,0.45,0.1489731139,0.3167497411,0.534277145,0.0615236513,0.106129104,0.1130130424,-0.0992223373,0.3135695206,0.3285701789,0.137778111,0.8652307236,0.2614710948,0.2547655491,0.636246318,0.1822585581,0.1809041827
0.3,0.3,7,9,0.5,0.1464416039,0.3075424001,0.546015996,0.0604928644,0.1100281968,0.1168331469,-0.0690688042,0.3259883492,0.3453568751,0.1429857128,0.8671314984,0.2782780495,0.2744180148,0.6335097274,0.1938772554,0.192354455
0.3,0.3,7,9,0.55,0.1437344235,0.2958888849,0.5603766915,0.0606256083,0.1155208837,0.1229229763,-0.0314010783,0.343583604,0.3651235405,0.1531740245,0.8869261479,0.302578131,0.3011403161,0.6405165478,0.2089352322,0.2093206996
