pi1,pi2,q1,q2,lambda,f0,f1,f2,sdf0,sdf1,sdf2,Q,sdQ,m,sdm,k0,k1,k2,sdk0,sdk1,sdk2
0.4,0.2,7,10,0.4,0.1495940301,0.4256900061,0.4247159639,0.0611611661,0.1086717961,0.111627552,-0.4266640483,0.3174241803,0.2653459849,0.1078402839,0.7261283319,0.20600911,0.1997293046,0.5342329786,0.1490212797,0.1457510794
0.4,0.2,7,10,0.45,0.1464526725,0.4116299497,0.4419173778,0.0608574796,0.1134484643,0.1172965606,-0.3813425215,0.3333039273,0.2761116864,0.1126931234,0.738634389,0.2252855664,0.2223739096,0.5378130411,0.1618025707,0.1605387025
0.4,0.2,7,10,0.5,0.143117792,0.394323919,0.462558289,0.0602137782,0.1196120572,0.1245002454,-0.326089549,0.3536831922,0.2921555325,0.1215306772,0.7504181778,0.2527117455,0.2534203406,0.540347991,0.1763032747,0.1761776572
0.4,0.2,7,10,0.55,0.13976006,0.3716802942,0.4885596458,0.0596498784,0.1234623522,0.1291230588,-0.2548009426,0.3665512126,0.3110486664,0.1312069202,0.7643680917,0.2857809272,0.2909869471,0.5455485559,0.1915091532,0.1909141476
0.4,0.2,7,10,0.6,0.1362316564,0.349220552,0.5145477916,0.0588465811,0.1271846795,0.1341572452,-0.1838933124,0.3796370838,0.3351315742,0.1423205356,0.780366473,0.3223205423,0.3316012168,0.5487034126,0.2050197256,0.2046756026
0.4,0.2,7,10,0.65,0.1326147035,0.3230699468,0.5443153497,0.0587073378,0.1318890222,0.1397758008,-0.1018245439,0.3950784803,0.3672123041,0.1548638342,0.8055679958,0.3685654097,0.3804460597,0.5571310576,0.2195789299,0.2185497352
0.4,0.2,7,10,0.7,0.1288424323,0.2857664155,0.5853911522,0.0575181202,0.1296233193,0.1386468794,0.0138583211,0.3896991565,0.4095076231,0.16633683,0.8233589562,0.4304785028,0.4451779912,0.5612768365,0.2308517856,0.2279151387
0.4,0.2,7,10,0.75,0.1250087478,0.2523694076,0.6226218445,0.0572132252,0.1345401827,0.1448002663,0.1178830292,0.4061539237,0.4601081872,0.1773287946,0.8521281244,0.4970369908,0.5111435761,0.5715511568,0.2416104504,0.239028019
0.4,0.2,7,10,0.8,0.1211750634,0.2117085014,0.6671164352,0.0560744234,0.1271603423,0.1383143261,0.2436994323,0.3848667203,0.5152611847,0.1804278828,0.8773825251,0.5726403093,0.5863906029,0.5748981906,0.2381237617,0.2349881086
0.4,0.2,7,10,0.85,0.1159210197,0.1580497733,0.726029207,0.0553542202,0.1182687049,0.130544228,0.4099296604,0.3590572743,0.5962350484,0.1788858022,0.9223207804,0.6781291922,0.6893031401,0.5850393842,0.2292691412,0.2272057753
0.4,0.2,7,10,0.9,0.1113839397,0.102105188,0.7865108723,0.0537698013,0.0920355436,0.1062991524,0.5823004963,0.2809615525,0.6807014318,0.1563352861,0.9572156281,0.7891412861,0.7958157976,0.5877051901,0.1879577994,0.190482204
0.4,0.2,7,10,0.95,0.1069318385,0.0491159353,0.8439522262,0.0529258489,0.0654396606,0.0840763903,0.7457203556,0.2032198866,0.7660145678,0.1256921124,0.9991124668,0.8983048371,0.8990596849,0.5947045924,0.135255124,0.1513510742
