"bot_type","pi1","pi2","N","lambda","parameter","stat.value","sv.sd"
"kilombo",0.3,0.3,14,0.6,"Q",0.0438272344732076,0.472623913806948
"kilombo",0.3,0.3,14,0.9,"f0",0.174315476190476,0.103991844061491
"kilombo",0.3,0.3,14,0.9,"f1",0.151531084656085,0.172846272979061
"kilombo",0.3,0.3,14,0.9,"f2",0.674153439153439,0.19836650953447
"kilombo",0.3,0.3,14,0.9,"Q",0.37109126984127,0.525046867954244
"kilombo",0.3,0.3,15,0.3,"f0",0.159179012345679,0.0936035502219646
"kilombo",0.3,0.3,15,0.3,"f1",0.317898148148148,0.135209974622777
"kilombo",0.3,0.3,15,0.3,"f2",0.522922839506173,0.144613139725427
"kilombo",0.3,0.3,15,0.3,"Q",-0.112873456790123,0.393581065017588
"kilombo",0.3,0.3,15,0.6,"f0",0.157407407407407,0.0935703596331021
"kilombo",0.3,0.3,15,0.6,"f1",0.256253086419753,0.154355376302069
"kilombo",0.3,0.3,15,0.6,"f2",0.586339506172839,0.169157630989756
"kilombo",0.3,0.3,15,0.6,"Q",0.0738333333333333,0.459658113300073
"kilombo",0.3,0.3,15,0.9,"f0",0.161974894357445,0.0960373700075121
"kilombo",0.3,0.3,15,0.9,"f1",0.137543499875715,0.164240038688509
"kilombo",0.3,0.3,15,0.9,"f2",0.700481605766841,0.19143950934548
"kilombo",0.3,0.3,15,0.9,"Q",0.425394606015411,0.503338500603532
"kilombo",0.3,0.3,16,0.3,"f0",0.158264710022523,0.0915201036601111
"kilombo",0.3,0.3,16,0.3,"f1",0.322338940503003,0.13482490133382
"kilombo",0.3,0.3,16,0.3,"f2",0.519396349474474,0.143914529640282
"kilombo",0.3,0.3,16,0.3,"Q",-0.125281531531532,0.392999797576132
"kilombo",0.3,0.3,16,0.6,"f0",0.153736134414616,0.0892832410237701
"kilombo",0.3,0.3,16,0.6,"f1",0.264360784862043,0.150876472283813
"kilombo",0.3,0.3,16,0.6,"f2",0.581903080723341,0.165756508674892
"kilombo",0.3,0.3,16,0.6,"Q",0.0531815109992543,0.450627257921336
"kilombo",0.3,0.3,16,0.9,"f0",0.154230324074074,0.091173678578964
"kilombo",0.3,0.3,16,0.9,"f1",0.132760416666667,0.153945418846143
"kilombo",0.3,0.3,16,0.9,"f2",0.713009259259259,0.177988838884232
"kilombo",0.3,0.3,16,0.9,"Q",0.447488425925926,0.469691337873202
"kilombo",0.3,0.3,17,0.3,"f0",0.156944992762206,0.0880543454237724
"kilombo",0.3,0.3,17,0.3,"f1",0.319987279027942,0.131524337110249
"kilombo",0.3,0.3,17,0.3,"f2",0.523067728209852,0.140031524056016
"kilombo",0.3,0.3,17,0.3,"Q",-0.116906829846032,0.383550850873877
"kilombo",0.3,0.3,17,0.6,"f0",0.150136165577342,0.0871475059896175
"kilombo",0.3,0.3,17,0.6,"f1",0.260476579520697,0.146849837574681
"kilombo",0.3,0.3,17,0.6,"f2",0.589387254901961,0.161178490218286
"kilombo",0.3,0.3,17,0.6,"Q",0.0684340958605664,0.438332511115682
"kilombo",0.3,0.3,17,0.9,"f0",0.145830591744528,0.0847625615053404
"kilombo",0.3,0.3,17,0.9,"f1",0.134170614554547,0.142974109100665
"kilombo",0.3,0.3,17,0.9,"f2",0.719998793700926,0.165533244867607
"kilombo",0.3,0.3,17,0.9,"Q",0.451657564591832,0.436444678100303
"kilombo",0.3,0.3,18,0.3,"f0",0.155679116616617,0.0855489593282914
"kilombo",0.3,0.3,18,0.3,"f1",0.322038184017351,0.1279243916933
"kilombo",0.3,0.3,18,0.3,"f2",0.522282699366033,0.137851508152944
"kilombo",0.3,0.3,18,0.3,"Q",-0.121793668668669,0.374913011185824
"kilombo",0.3,0.3,18,0.6,"f0",0.148667695473251,0.0841634517054393
"kilombo",0.3,0.3,18,0.6,"f1",0.259225823045267,0.143447310341266
"kilombo",0.3,0.3,18,0.6,"f2",0.592106481481481,0.157728162108595
"kilombo",0.3,0.3,18,0.6,"Q",0.0736548353909465,0.428870996017891
"kilombo",0.3,0.3,18,0.9,"f0",0.138706414748081,0.0810014424324506
"kilombo",0.3,0.3,18,0.9,"f1",0.123141370537204,0.140969199349437
"kilombo",0.3,0.3,18,0.9,"f2",0.738152214714715,0.163316029849228
"kilombo",0.3,0.3,18,0.9,"Q",0.491869473640307,0.431425312720747
"kilombo",0.3,0.3,19,0.3,"f0",0.153311403508772,0.0815943515430343
"kilombo",0.3,0.3,19,0.3,"f1",0.318265107212476,0.125837670736064
"kilombo",0.3,0.3,19,0.3,"f2",0.528423489278752,0.134209982799533
"kilombo",0.3,0.3,19,0.3,"Q",-0.108106725146199,0.368418781143638
"kilombo",0.3,0.3,19,0.6,"f0",0.145388809862494,0.0807212417913896
"kilombo",0.3,0.3,19,0.6,"f1",0.254190868500079,0.139255377382038
"kilombo",0.3,0.3,19,0.6,"f2",0.600420321637427,0.152701417219608
"kilombo",0.3,0.3,19,0.6,"Q",0.0920385846372689,0.416261566192249
"kilombo",0.3,0.3,19,0.9,"f0",0.13354044834308,0.0772894095790958
"kilombo",0.3,0.3,19,0.9,"f1",0.118345516569201,0.140213544245888
"kilombo",0.3,0.3,19,0.9,"f2",0.748114035087719,0.16053692832735
"kilombo",0.3,0.3,19,0.9,"Q",0.511423001949318,0.428168236028939
"kilombo",0.3,0.3,20,0.3,"f0",0.153337962962963,0.0805668068428236
"kilombo",0.3,0.3,20,0.3,"f1",0.317118055555556,0.12291656448963
"kilombo",0.3,0.3,20,0.3,"f2",0.529543981481482,0.13154729344387
"kilombo",0.3,0.3,20,0.3,"Q",-0.10469212962963,0.359976306807997
"kilombo",0.3,0.3,20,0.6,"f0",0.142410379129129,0.0776559596567121
"kilombo",0.3,0.3,20,0.6,"f1",0.253054617117117,0.136429383216508
"kilombo",0.3,0.3,20,0.6,"f2",0.604535003753754,0.148543235334698
"kilombo",0.3,0.3,20,0.6,"Q",0.0984257695195195,0.407200493344138
"kilombo",0.3,0.3,20,0.9,"f0",0.130787037037037,0.0743278974739861
"kilombo",0.3,0.3,20,0.9,"f1",0.115891203703704,0.135398276874752
"kilombo",0.3,0.3,20,0.9,"f2",0.753321759259259,0.154127310141721
"kilombo",0.3,0.3,20,0.9,"Q",0.521539351851852,0.412568261979363
"kilombo",0.3,0.3,21,0.3,"f0",0.153272699833103,0.0784578690309081
"kilombo",0.3,0.3,21,0.3,"f1",0.321399719470189,0.119909098858143
"kilombo",0.3,0.3,21,0.3,"f2",0.525327580696708,0.12739433507037
"kilombo",0.3,0.3,21,0.3,"Q",-0.11747185824367,0.35020826279823
"kilombo",0.3,0.3,21,0.6,"f0",0.141177071126736,0.0753069168878318
"kilombo",0.3,0.3,21,0.6,"f1",0.246429015304854,0.134578610061887
"kilombo",0.3,0.3,21,0.6,"f2",0.61239391356841,0.147256520723127
"kilombo",0.3,0.3,21,0.6,"Q",0.119535882958702,0.4029635206086
"kilombo",0.3,0.3,21,0.9,"f0",0.126833209047974,0.0725070167765596
"kilombo",0.3,0.3,21,0.9,"f1",0.11531461950925,0.131089798065817
"kilombo",0.3,0.3,21,0.9,"f2",0.757852171442776,0.150267987772486
"kilombo",0.3,0.3,21,0.9,"Q",0.527222932424275,0.400417382771433
"kilombo",0.3,0.3,22,0.3,"f0",0.151900252525253,0.0755338938831574
"kilombo",0.3,0.3,22,0.3,"f1",0.319844276094276,0.115664387150081
"kilombo",0.3,0.3,22,0.3,"f2",0.528255471380471,0.123868435597058
"kilombo",0.3,0.3,22,0.3,"Q",-0.111433080808081,0.338952699488153
"kilombo",0.3,0.3,22,0.6,"f0",0.138381734006734,0.0729996749011547
"kilombo",0.3,0.3,22,0.6,"f1",0.256853956228956,0.132986177967755
"kilombo",0.3,0.3,22,0.6,"f2",0.60476430976431,0.144312110160219
"kilombo",0.3,0.3,22,0.6,"Q",0.0910563973063973,0.39740658213996
"kilombo",0.3,0.3,22,0.9,"f0",0.123352272727273,0.0685954022067652
"kilombo",0.3,0.3,22,0.9,"f1",0.104549663299663,0.119886116772695
"kilombo",0.3,0.3,22,0.9,"f2",0.772098063973064,0.138227341635065
"kilombo",0.3,0.3,22,0.9,"Q",0.562998737373737,0.366259227170719
"kilombo",0.3,0.3,23,0.3,"f0",0.150764215302259,0.0739303263809302
"kilombo",0.3,0.3,23,0.3,"f1",0.316270074422248,0.114933344331954
"kilombo",0.3,0.3,23,0.3,"f2",0.532965710275493,0.123130099561727
"kilombo",0.3,0.3,23,0.3,"Q",-0.0995744385690038,0.3373569619448
"kilombo",0.3,0.3,23,0.6,"f0",0.137867587459067,0.0709485599656058
"kilombo",0.3,0.3,23,0.6,"f1",0.256081201569238,0.132049942349687
"kilombo",0.3,0.3,23,0.6,"f2",0.606051210971695,0.143841548183542
"kilombo",0.3,0.3,23,0.6,"Q",0.0938888078332199,0.395761165700302
"kilombo",0.3,0.3,23,0.9,"f0",0.121022544283414,0.0667887012655393
"kilombo",0.3,0.3,23,0.9,"f1",0.101644524959742,0.118131974850994
"kilombo",0.3,0.3,23,0.9,"f2",0.777332930756844,0.135438338158708
"kilombo",0.3,0.3,23,0.9,"Q",0.574043880837359,0.360333387280833
"kilombo",0.3,0.3,24,0.3,"f0",0.15039453516016,0.0717894115841348
"kilombo",0.3,0.3,24,0.3,"f1",0.316081706706707,0.112134197114513
"kilombo",0.3,0.3,24,0.3,"f2",0.533523758133133,0.119375529528959
"kilombo",0.3,0.3,24,0.3,"Q",-0.0986396552802803,0.328463971989112
"kilombo",0.3,0.3,24,0.6,"f0",0.136469907407407,0.0692589892260518
"kilombo",0.3,0.3,24,0.6,"f1",0.247060185185185,0.125609868136103
"kilombo",0.3,0.3,24,0.6,"f2",0.616469907407407,0.137041984054354
"kilombo",0.3,0.3,24,0.6,"Q",0.122349537037037,0.376051771492235
"kilombo",0.3,0.3,24,0.9,"f0",0.119043209876543,0.0647864612297841
"kilombo",0.3,0.3,24,0.9,"f1",0.102143132716049,0.112151631268712
