iter,f0,f1,f2,k0,k1,k2
     21,    0.1520000000,    0.1960000000,    0.6520000000,    0.8076712329,    0.2440000000,    0.5317482517
     22,    0.1680000000,    0.1840000000,    0.6480000000,    0.7484931507,    0.2902857143,    0.5241958042
     23,    0.1480000000,    0.1920000000,    0.6600000000,    0.8224657534,    0.2594285714,    0.5468531469
     24,    0.1520000000,    0.1900000000,    0.6580000000,    0.8076712329,    0.2671428571,    0.5430769231
     25,    0.1340000000,    0.1980000000,    0.6680000000,    0.8742465753,    0.2362857143,    0.5619580420
     26,    0.1640000000,    0.1880000000,    0.6480000000,    0.7632876712,    0.2748571429,    0.5241958042
     27,    0.1580000000,    0.1740000000,    0.6680000000,    0.7854794521,    0.3288571429,    0.5619580420
     28,    0.1860000000,    0.1540000000,    0.6600000000,    0.6819178082,    0.4060000000,    0.5468531469
     29,    0.1660000000,    0.1500000000,    0.6840000000,    0.7558904110,    0.4214285714,    0.5921678322
     30,    0.1600000000,    0.1500000000,    0.6900000000,    0.7780821918,    0.4214285714,    0.6034965035
     31,    0.1620000000,    0.1460000000,    0.6920000000,    0.7706849315,    0.4368571429,    0.6072727273
     32,    0.1660000000,    0.1520000000,    0.6820000000,    0.7558904110,    0.4137142857,    0.5883916084
     33,    0.1220000000,    0.1600000000,    0.7180000000,    0.9186301370,    0.3828571429,    0.6563636364
     34,    0.1320000000,    0.1560000000,    0.7120000000,    0.8816438356,    0.3982857143,    0.6450349650
     35,    0.1300000000,    0.1500000000,    0.7200000000,    0.8890410959,    0.4214285714,    0.6601398601
     36,    0.1320000000,    0.1600000000,    0.7080000000,    0.8816438356,    0.3828571429,    0.6374825175
     37,    0.1540000000,    0.1500000000,    0.6960000000,    0.8002739726,    0.4214285714,    0.6148251748
     38,    0.1600000000,    0.1680000000,    0.6720000000,    0.7780821918,    0.3520000000,    0.5695104895
     39,    0.1400000000,    0.1800000000,    0.6800000000,    0.8520547945,    0.3057142857,    0.5846153846
     40,    0.1620000000,    0.1840000000,    0.6540000000,    0.7706849315,    0.2902857143,    0.5355244755
     41,    0.1540000000,    0.1660000000,    0.6800000000,    0.8002739726,    0.3597142857,    0.5846153846
     42,    0.1520000000,    0.1440000000,    0.7040000000,    0.8076712329,    0.4445714286,    0.6299300699
     43,    0.1540000000,    0.1480000000,    0.6980000000,    0.8002739726,    0.4291428571,    0.6186013986
     44,    0.1880000000,    0.1380000000,    0.6740000000,    0.6745205479,    0.4677142857,    0.5732867133
     45,    0.1760000000,    0.1460000000,    0.6780000000,    0.7189041096,    0.4368571429,    0.5808391608
     46,    0.1560000000,    0.1500000000,    0.6940000000,    0.7928767123,    0.4214285714,    0.6110489510
     47,    0.1600000000,    0.1440000000,    0.6960000000,    0.7780821918,    0.4445714286,    0.6148251748
     48,    0.1220000000,    0.1500000000,    0.7280000000,    0.9186301370,    0.4214285714,    0.6752447552
     49,    0.1700000000,    0.1420000000,    0.6880000000,    0.7410958904,    0.4522857143,    0.5997202797
     50,    0.1660000000,    0.1440000000,    0.6900000000,    0.7558904110,    0.4445714286,    0.6034965035
     51,    0.1460000000,    0.1400000000,    0.7140000000,    0.8298630137,    0.4600000000,    0.6488111888
     52,    0.1700000000,    0.1280000000,    0.7020000000,    0.7410958904,    0.5062857143,    0.6261538462
     53,    0.1500000000,    0.1360000000,    0.7140000000,    0.8150684932,    0.4754285714,    0.6488111888
     54,    0.1300000000,    0.1420000000,    0.7280000000,    0.8890410959,    0.4522857143,    0.6752447552
     55,    0.1380000000,    0.1420000000,    0.7200000000,    0.8594520548,    0.4522857143,    0.6601398601
     56,    0.1500000000,    0.1440000000,    0.7060000000,    0.8150684932,    0.4445714286,    0.6337062937
     57,    0.1280000000,    0.1460000000,    0.7260000000,    0.8964383562,    0.4368571429,    0.6714685315
     58,    0.1540000000,    0.1260000000,    0.7200000000,    0.8002739726,    0.5140000000,    0.6601398601
     59,    0.1620000000,    0.1220000000,    0.7160000000,    0.7706849315,    0.5294285714,    0.6525874126
     60,    0.1700000000,    0.1240000000,    0.7060000000,    0.7410958904,    0.5217142857,    0.6337062937
     61,    0.1660000000,    0.1180000000,    0.7160000000,    0.7558904110,    0.5448571429,    0.6525874126
