N,arena_r,interac_r,pi1,pi2,q1,q2,lambda,f0,f1,f2,sdf0,sdf1,sdf2,Q,sdQ
20,20,7,0.3,0.3,7,10,0.6,0.1544581355,0.2771549613,0.5683869033,0.0853610622,0.1407154434,0.1525919106,0.0140769808,0.4172347874
20,20,7,0.3,0.3,7,10,0.65,0.1559837541,0.2660044989,0.5780117471,0.0867493048,0.1420353775,0.1550060536,0.0460027493,0.4219881953
20,20,7,0.3,0.3,7,10,0.7,0.1583946513,0.2518385404,0.5897668083,0.0874229033,0.1455810615,0.1600217684,0.0860897276,0.4343943414
20,20,7,0.3,0.3,7,10,0.75,0.1632951762,0.2390284929,0.5976763309,0.0884610805,0.1470022314,0.1625496266,0.1196193452,0.439629792
20,20,7,0.3,0.3,7,10,0.8,0.1644473882,0.2270569858,0.6084956261,0.0910877135,0.1532594268,0.1709706438,0.1543816546,0.4604667756
20,20,7,0.3,0.3,7,10,0.85,0.1782164459,0.201375906,0.6204076481,0.0939156702,0.1499482337,0.1682756878,0.217655836,0.4496850585
20,20,7,0.3,0.3,7,10,0.9,0.1852709323,0.1779157711,0.6368132967,0.0962758826,0.1508023278,0.1729910718,0.2809817546,0.4557276533
20,20,7,0.3,0.3,7,10,0.95,0.2048945264,0.1526010997,0.6425043739,0.1035529783,0.1587733222,0.1851804622,0.3373021745,0.482372034
30,20,7,0.3,0.3,7,8,0.0,0.1816625844,0.3829372657,0.43540015,0.0704502416,0.0889016497,0.0905667277,-0.3304743814,0.2492018126
30,20,7,0.3,0.3,7,8,0.05,0.1797185704,0.3816594185,0.4386220112,0.0705844546,0.0909583455,0.0928059067,-0.3246968258,0.2559589854
30,20,7,0.3,0.3,7,8,0.1,0.1773300008,0.3795834375,0.4430865617,0.0706566432,0.0944872421,0.0968406228,-0.3160803133,0.2677996074
30,20,7,0.3,0.3,7,8,0.15,0.1751880363,0.378575856,0.4462361076,0.0706401172,0.0968900577,0.0993094495,-0.3109156044,0.2755596988
30,20,7,0.3,0.3,7,8,0.2,0.1732378572,0.3777032409,0.4490589019,0.0705694479,0.0994254215,0.1021319856,-0.3063475798,0.2839810208
30,20,7,0.3,0.3,7,8,0.25,0.1710702324,0.3772433558,0.4516864117,0.0706751529,0.1022403658,0.104977049,-0.3028002999,0.2928978361
30,20,7,0.3,0.3,7,8,0.3,0.1697282346,0.3730015829,0.4572701825,0.0710756668,0.1049393484,0.1080108826,-0.2887329834,0.3016109291
30,20,7,0.3,0.3,7,8,0.35,0.1683295843,0.3719691744,0.4597012414,0.0708213879,0.1094783946,0.1129127493,-0.2842371074,0.316432682
30,20,7,0.3,0.3,7,8,0.4,0.1667564775,0.3700943098,0.4631492127,0.0709456384,0.1132967606,0.116966822,-0.2770394068,0.3286245287
30,20,7,0.3,0.3,7,8,0.45,0.1650802299,0.366659835,0.468259935,0.0711741178,0.1154853726,0.1190285074,-0.2650597351,0.3352507635
30,20,7,0.3,0.3,7,8,0.5,0.1645681913,0.3641459635,0.4712858452,0.071479338,0.1199560678,0.1239341946,-0.2570060818,0.3495671775
30,20,7,0.3,0.3,7,8,0.55,0.1628016329,0.3576092644,0.4795891027,0.0713958067,0.1242107407,0.1285715219,-0.235629426,0.3632726729
30,20,7,0.3,0.3,7,8,0.6,0.1625080397,0.353617429,0.4838745314,0.0716678735,0.1304632034,0.1349122494,-0.2233603266,0.3826947368
30,20,7,0.3,0.3,7,8,0.65,0.160682496,0.3510902274,0.4882272765,0.0721734073,0.1376391013,0.1428255023,-0.2139531784,0.4055200415
