arena_r,interac_r,pi1,pi2,q1,q2,lambda,f0,f1,f2,sdf0,sdf1,sdf2,Q,sdQ
20,2,0.3,0.3,7,10,0.25,0.206875424,0.3270962259,0.4660283501,0.0684657664,0.0795560521,0.0845099314,-0.1881641018,0.2236641585
20,2,0.3,0.3,7,10,0.3,0.2191333595,0.3205328668,0.4603337737,0.069945401,0.0788956367,0.084490636,-0.1807319599,0.2213106716
20,2,0.3,0.3,7,10,0.35,0.2318860285,0.3158180455,0.452295926,0.0713191755,0.0785251788,0.0839898382,-0.179340165,0.2190599264
20,2,0.3,0.3,7,10,0.4,0.2457786982,0.3110245296,0.4431967722,0.0726201122,0.0782620022,0.0837492036,-0.1788522869,0.2173570146
20,2,0.3,0.3,7,10,0.45,0.2629331239,0.3035304031,0.433536473,0.0744324498,0.0780391085,0.0841278748,-0.1735243332,0.2160850145
20,2,0.3,0.3,7,10,0.5,0.2809231978,0.2955169779,0.4235598243,0.0758597594,0.0777603599,0.0841325837,-0.1674741315,0.2144889512
20,2,0.3,0.3,7,10,0.55,0.3037527761,0.2871923448,0.4090548791,0.0778500916,0.0768250629,0.0836730372,-0.1653298104,0.2104632977
20,2,0.3,0.3,7,10,0.6,0.3289419074,0.2759131646,0.3951449281,0.079336569,0.0756393565,0.082647743,-0.1566814011,0.2055024073
20,2,0.3,0.3,7,10,0.65,0.3599011676,0.2635104081,0.3765884243,0.0811606758,0.0747940077,0.0821687643,-0.1504323919,0.2016082051
20,2,0.3,0.3,7,10,0.7,0.3949432642,0.2491170065,0.3559397294,0.082746583,0.0733833579,0.0804455296,-0.1422942836,0.1950157917
20,2,0.3,0.3,7,10,0.75,0.4394692755,0.2299996429,0.3305310815,0.083555973,0.0711077488,0.0795119853,-0.1294682044,0.1879923878
20,2,0.3,0.3,7,10,0.8,0.4942287285,0.2081643875,0.297606884,0.0846722126,0.0686896274,0.0776210575,-0.118721891,0.179013709
20,2,0.3,0.3,7,10,0.85,0.5657861249,0.1782188739,0.2559950012,0.0840739226,0.0646198586,0.0739614091,-0.1004427465,0.1653129697
20,2,0.3,0.3,7,10,0.9,0.6611558539,0.1390382404,0.1998059057,0.0800772775,0.0586132463,0.0674780351,-0.0782705752,0.1464520085
20,2,0.3,0.3,7,10,0.95,0.7969060592,0.0833608741,0.1197330667,0.0675504247,0.0463991051,0.0545556013,-0.0469886814,0.1127833447
20,3,0.3,0.3,7,8,0.0,0.1816317349,0.3818342557,0.4365340094,0.0653576775,0.08223091,0.0838593021,-0.3271345021,0.2304895462
20,3,0.3,0.3,7,8,0.05,0.1897215696,0.3794317135,0.4308467169,0.066250249,0.0820042276,0.0836914479,-0.3280167101,0.2293092769
20,3,0.3,0.3,7,8,0.1,0.198070768,0.3737371371,0.4281920948,0.0673902958,0.0818162189,0.0836428809,-0.3192821795,0.2281860046
20,3,0.3,0.3,7,8,0.15,0.2070412397,0.3689706145,0.4239881458,0.0685135941,0.0814201351,0.083466,-0.3139530832,0.2264661669
20,3,0.3,0.3,7,8,0.2,0.2174373549,0.3642757882,0.4182868569,0.0699811748,0.0814392943,0.083726618,-0.3102647195,0.2258979016
20,3,0.3,0.3,7,8,0.25,0.228386332,0.3602433677,0.4113703003,0.0709925235,0.081271079,0.0834181342,-0.3091164352,0.2245569155
20,3,0.3,0.3,7,8,0.3,0.2407799479,0.3543459849,0.4048740672,0.0724463392,0.0809963387,0.0832737422,-0.3038179027,0.2228655325
20,3,0.3,0.3,7,8,0.35,0.254985825,0.347388153,0.3976260221,0.0736232767,0.0800220292,0.0823759243,-0.2971502839,0.2189469249
20,3,0.3,0.3,7,8,0.4,0.2701621737,0.3393920091,0.3904458171,0.0750535715,0.080140085,0.0824658168,-0.2883382012,0.2183354184
20,3,0.3,0.3,7,8,0.45,0.2879315885,0.3315189774,0.3805494341,0.0764688016,0.0795582629,0.082015661,-0.2824885207,0.2155501193
20,3,0.3,0.3,7,8,0.5,0.3071669226,0.3238787446,0.3689543328,0.0780903578,0.0792182612,0.0812365545,-0.2788031564,0.2127325147
20,3,0.3,0.3,7,8,0.55,0.3311609241,0.3121172564,0.3567218195,0.0794224788,0.0777863653,0.0807421633,-0.2675126933,0.2079575493
20,3,0.3,0.3,7,8,0.6,0.3570698754,0.3005632877,0.3423668369,0.0813167198,0.0777255432,0.0805065876,-0.2587597386,0.2060744392
20,3,0.3,0.3,7,8,0.65,0.3879932874,0.285544471,0.3264622416,0.0822416899,0.0757956989,0.0786994527,-0.2446267005,0.1988047994
20,3,0.3,0.3,7,8,0.7,0.4257888385,0.2684524583,0.3057587032,0.0831388358,0.0746181818,0.0775354401,-0.2311462134,0.1939544786
20,3,0.3,0.3,7,8,0.75,0.4697821259,0.2475878173,0.2826300568,0.084316187,0.0727537643,0.0763192838,-0.2125455779,0.1871206074
20,3,0.3,0.3,7,8,0.8,0.5256910058,0.2210663049,0.2532426893,0.0844172529,0.0695474352,0.073304931,-0.1888899204,0.1757537141
20,3,0.3,0.3,7,8,0.85,0.5967772343,0.1885734281,0.2146493377,0.0830275467,0.0659014474,0.0694765397,-0.1624975185,0.1635598556
20,3,0.3,0.3,7,8,0.9,0.6899713643,0.1447442425,0.1652843932,0.0783191827,0.059358492,0.06281411,-0.1242040918,0.1439084151
20,3,0.3,0.3,7,8,0.95,0.8169543328,0.0860296354,0.0970160317,0.0653434807,0.0473000235,0.0497496944,-0.0750432392,0.1109473239
20,3,0.3,0.3,7,10,0.0,0.1640011426,0.345150998,0.4908478595,0.0623636984,0.0808305197,0.0847386365,-0.1994541365,0.2301410116
20,3,0.3,0.3,7,10,0.05,0.1712154818,0.3414097904,0.4873747277,0.0635119723,0.079677764,0.0840171021,-0.1954448531,0.2262749557
20,3,0.3,0.3,7,10,0.1,0.1787333167,0.3387687364,0.4824979469,0.064582497,0.0801099934,0.0846193471,-0.1950395258,0.2272557373
20,3,0.3,0.3,7,10,0.15,0.1875082658,0.3338785304,0.4786132038,0.0660715882,0.0798684009,0.0847265712,-0.1891438569,0.2260058292
20,3,0.3,0.3,7,10,0.2,0.1969260542,0.3317570607,0.4713168851,0.0671964775,0.0795242026,0.0843060534,-0.1921972364,0.224134762
20,3,0.3,0.3,7,10,0.25,0.2076982183,0.3263244189,0.4659773628,0.0684356149,0.0784991809,0.0837069029,-0.186671475,0.2205139415
20,3,0.3,0.3,7,10,0.3,0.2187547399,0.3214452101,0.45980005,0.0698938225,0.0784734031,0.0837786393,-0.1830903703,0.2196240841
20,3,0.3,0.3,7,10,0.35,0.2322096619,0.3145312243,0.4532591138,0.0711711916,0.0777413832,0.0836589761,-0.1758033349,0.2170901466
20,3,0.3,0.3,7,10,0.4,0.246266719,0.3113960081,0.4423372728,0.0728587807,0.078383576,0.0842268984,-0.1804547435,0.2180128833
20,3,0.3,0.3,7,10,0.45,0.2628798515,0.303704074,0.4334160746,0.0743652472,0.0775396662,0.0829677007,-0.1739920734,0.2136935589
20,3,0.3,0.3,7,10,0.5,0.2816820081,0.2952280501,0.4230899418,0.0764619791,0.0771446976,0.0834872543,-0.1673661585,0.2119559449
20,3,0.3,0.3,7,10,0.55,0.3034535652,0.2857037169,0.4108427179,0.0777478233,0.0762021026,0.0834936269,-0.160564716,0.2089609336
20,3,0.3,0.3,7,10,0.6,0.3289237691,0.2761829543,0.3948932767,0.0797346281,0.0755478363,0.0827294567,-0.1574726318,0.205090518
20,3,0.3,0.3,7,10,0.65,0.3599531546,0.2630629485,0.3769838969,0.0810098785,0.0741935983,0.081675051,-0.1491420002,0.1997883411
20,3,0.3,0.3,7,10,0.7,0.3953757275,0.249530903,0.3550933695,0.0824505109,0.0728236582,0.0807566184,-0.1439684365,0.1943924687
20,3,0.3,0.3,7,10,0.75,0.439299318,0.2302173028,0.3304833792,0.0837072965,0.0710612515,0.0793369239,-0.1299512265,0.1875298065
20,3,0.3,0.3,7,10,0.8,0.4951222194,0.2079821473,0.2968956332,0.0845663559,0.0682159231,0.0772717205,-0.1190686614,0.1775677118
20,3,0.3,0.3,7,10,0.85,0.5672191952,0.1779130932,0.2548677116,0.0839326579,0.0644187272,0.0734606644,-0.1009584747,0.1643126897
20,3,0.3,0.3,7,10,0.9,0.6626771878,0.1382697183,0.1990530939,0.0797743315,0.0583045699,0.0677480068,-0.0774863427,0.1464173028
20,3,0.3,0.3,7,10,0.95,0.7957657728,0.0835739636,0.1206602635,0.0679713143,0.0466890654,0.0546677503,-0.0464876638,0.1131578659
20,4,0.3,0.3,7,8,0.0,0.181769272,0.3813035313,0.4369271968,0.065437501,0.0821871226,0.0839617337,-0.3256798657,0.2304624131
20,4,0.3,0.3,7,8,0.05,0.1811807048,0.3799528689,0.4388664263,0.0653166966,0.083801559,0.0856070954,-0.3210393116,0.235774024
20,4,0.3,0.3,7,8,0.1,0.1815941729,0.377757275,0.4406485521,0.0657951475,0.0854160004,0.0874798727,-0.3148659978,0.2409886724
20,4,0.3,0.3,7,8,0.15,0.1809977506,0.3785966366,0.4404056129,0.0660237416,0.0877885081,0.0896967429,-0.3167876602,0.2483126679
