pi,lambda,f0,f1,f2,sdf0,sdf1,sdf2,Q,sdQ,m,sdm,k2,sdk2,k0,k1,sdk0,sdk1
0.05,0.65,0.1543881887,0.0642300139,0.7813817974,0.0643959034,0.0768431198,0.1005467375,0.6529217696,0.2397174689,0.6728160817,0.1480676433,0.8116793303,0.1594477562,0.8765421484,0.7201682742,0.1461747501,0.2873858416
0.05,0.7,0.1437626308,0.0515071232,0.804730246,0.0615637028,0.0706359128,0.0935478855,0.7017159996,0.220476835,0.7079174849,0.1368866413,0.8488171948,0.1479574407,0.900661513,0.7708854419,0.1397458285,0.2734072134
0.05,0.75,0.1347852323,0.0382665048,0.8269482629,0.0601807998,0.0565825023,0.0827629958,0.7504152533,0.1803196064,0.7405252258,0.1236369747,0.8839956167,0.1314227119,0.9210396568,0.8166123265,0.1366067234,0.2428422472
0.05,0.8,0.1270250295,0.0294512086,0.8435237619,0.0578462607,0.0505871072,0.0766582308,0.7846213447,0.1621462482,0.7653279537,0.1147581805,0.9103167035,0.1217319545,0.9386548411,0.8580441624,0.1313074628,0.2194290332
0.05,0.85,0.1197389938,0.0228842789,0.8573767272,0.0564034283,0.0482840669,0.0748110899,0.8116081694,0.1562546345,0.7861090085,0.1119605144,0.9323149746,0.1187987265,0.955193695,0.8933799203,0.1280323219,0.1992966557
0.05,0.9,0.1143024958,0.0139293748,0.8717681294,0.0550327149,0.0367319992,0.0661831398,0.8439093798,0.1232025288,0.8076961117,0.0989778489,0.9551682741,0.1050976897,0.967534212,0.9323063112,0.1249208866,0.163305078
0.05,0.95,0.1080054986,0.0086578355,0.8833366658,0.0531364848,0.0375909303,0.0655682795,0.8660209948,0.125415685,0.8259128075,0.0918623854,0.9740558576,0.0991687648,0.9818280093,0.9640733694,0.1206165606,0.1435644679
0.1,0.05,0.3463901882,0.2586642625,0.3949455493,0.0818937282,0.0782963961,0.0878303516,-0.1223829757,0.215664787,0.1591462849,0.0886618182,0.1360386177,0.1055806719,0.2514285812,0.2394060158,0.1907758071,0.1841039352
0.1,0.1,0.3215492555,0.2585068019,0.4199439426,0.0816489494,0.082689493,0.0948303732,-0.0970696612,0.233817473,0.1778637483,0.1009822333,0.161122931,0.1218994468,0.2840087923,0.2539465134,0.2077077204,0.1929912546
0.1,0.15,0.2993319527,0.257102153,0.4435658942,0.0815593111,0.0877081993,0.0995777219,-0.0706384118,0.2501993105,0.2008904917,0.1132432852,0.1882441727,0.137887493,0.329533419,0.2705015583,0.226803784,0.2033398397
0.1,0.2,0.2755943157,0.2492680401,0.4751376442,0.0802993102,0.0919576796,0.1057668008,-0.0233984361,0.2672099906,0.2372794301,0.1295192496,0.2313699797,0.1596169299,0.3894883911,0.2861474937,0.2436917551,0.2131021424
0.1,0.25,0.2559110222,0.2388295783,0.5052593994,0.0786378777,0.0943989901,0.109857971,0.0276002428,0.2780386766,0.2749243046,0.1414508702,0.2774728396,0.175779242,0.4457739772,0.3012752934,0.2551466552,0.2191324829
