pi,lambda,f0,f1,f2,sdf0,sdf1,sdf2,Q,sdQ,m,sdm,k2,sdk2,k0,k1,sdk0,sdk1
0.15,0.9,0.1101778055,0.0383308173,0.8514913772,0.0318088027,0.034305392,0.0467465446,0.7748297426,0.1076720852,0.7772370657,0.0701198168,0.8984037693,0.0979057423,0.9439826206,0.8704095167,0.1750717046,0.1159534886
0.15,0.95,0.1053864534,0.0182686828,0.8763448638,0.0311142225,0.0238600077,0.0392479304,0.8398074981,0.0781076836,0.8145172957,0.0588718956,0.9504567944,0.0822006801,0.9703536286,0.9382344533,0.1712488216,0.0806695498
0.2,0.05,0.2189156711,0.3143195701,0.4667647588,0.0416846439,0.0480545091,0.0516304723,-0.1618743814,0.1355629484,0.2029428893,0.0730646614,0.0952520543,0.0715088305,0.2682523655,0.1208701396,0.1990553594,0.0913638179
0.2,0.1,0.210511922,0.3111965009,0.4782915771,0.0412987648,0.050262943,0.0542225602,-0.1441014246,0.1434129101,0.220004124,0.0771293888,0.1065126473,0.0794576533,0.2825378298,0.1277301246,0.2069036488,0.095505344
0.2,0.15,0.2027629593,0.3062345914,0.4910024494,0.0409027553,0.051670448,0.0560706507,-0.1214667333,0.1486764742,0.2384629343,0.0807055372,0.1211854791,0.0886352923,0.3047549184,0.1337079302,0.2179324928,0.0995163662
0.2,0.2,0.1948234441,0.2993264184,0.5058501375,0.040378094,0.0537415541,0.0586679287,-0.0928026993,0.1561855449,0.2604053737,0.0849596167,0.1432245408,0.1004865437,0.3349035955,0.1441068161,0.2312901928,0.1061736668
0.2,0.25,0.1870362409,0.2910964259,0.5218673332,0.0398969296,0.0556926039,0.0611301396,-0.0603255186,0.1632089113,0.284151862,0.0890172257,0.1706295875,0.1120641504,0.3719885743,0.1578500232,0.2446191754,0.1138709338
0.2,0.3,0.1796339415,0.2818737316,0.5384923269,0.0394344988,0.0573119018,0.0629582951,-0.0252551362,0.1687868653,0.3087130217,0.092379707,0.2010088192,0.1228219837,0.4127822687,0.173894812,0.2563536815,0.1233948238
0.2,0.35,0.1724710822,0.2691637591,0.5583651587,0.0388898074,0.0582670255,0.0643167782,0.0200376406,0.1724974992,0.338148113,0.0950711564,0.2402825722,0.1320239629,0.456661049,0.1978796872,0.2650135471,0.1345802977
0.2,0.4,0.1658191452,0.2586196951,0.5755611597,0.0383238425,0.0608254868,0.0671562788,0.0583217696,0.1810825851,0.3637937266,0.0996423932,0.2767039975,0.1413033081,0.5000880494,0.2238491091,0.2715261346,0.1465537609
0.2,0.45,0.1589636091,0.243652187,0.5973842039,0.0375982941,0.0614862997,0.068248267,0.11007983,0.1839282597,0.3962787553,0.1018299866,0.3231185163,0.1479515801,0.5478548577,0.2589918806,0.2742036299,0.1585320981
0.2,0.5,0.152944164,0.2290602849,0.6179955511,0.037010678,0.0624124378,0.0694994974,0.1598749813,0.1874108699,0.4272324419,0.1035596063,0.3686180394,0.1519851715,0.5911522119,0.297737837,0.2759900182,0.1681732293
0.2,0.55,0.1463407648,0.2087586103,0.6449006248,0.0363359612,0.0634965874,0.0709158382,0.2273834041,0.191409153,0.4674705324,0.1059972693,0.4281755173,0.1569049183,0.6401492841,0.3548751955,0.2758233239,0.1793218301
0.2,0.6,0.1405402649,0.1915354661,0.6679242689,0.0358125593,0.0625830576,0.0702798972,0.2848533367,0.1890834408,0.5019217196,0.1052978687,0.4793073058,0.1568768582,0.684171957,0.404237612,0.2747478511,0.1835966902
0.2,0.65,0.1347176706,0.1685175206,0.6967648088,0.0350017748,0.0616964229,0.0696729025,0.3597297676,0.1869528901,0.5451507373,0.1044958219,0.5438491806,0.1560902903,0.7286911486,0.4735991002,0.2710873279,0.1858857665
