pi,lambda,f0,f1,f2,sdf0,sdf1,sdf2,Q,sdQ,m,sdm,k2,sdk2
0.2,0.35,0.1970486378,0.346091927,0.4568594351,0.0129318628,0.0205947029,0.021500576,-0.2353244189,0.0599767361,0.1853478443,0.0320933589,0.119704074,0.0452643705
0.2,0.4,0.1904586728,0.3424779555,0.4670633717,0.0128344662,0.0216118974,0.0224149323,-0.2178925394,0.0630895012,0.2006215446,0.0335491766,0.1411860456,0.0471893311
0.2,0.45,0.184002062,0.3366402274,0.4793577106,0.0126426332,0.022863805,0.0238148766,-0.1939227443,0.0672182578,0.2190418708,0.0357058978,0.1670688644,0.0501365824
0.2,0.5,0.1779110722,0.3293262809,0.4927626468,0.0124615165,0.0237133506,0.024771292,-0.165889915,0.0700300644,0.2391485254,0.0371415268,0.1952897828,0.0521500884
0.2,0.55,0.1720932892,0.3204710072,0.5074357036,0.0123549402,0.0250629409,0.0261669935,-0.1335063109,0.0742815698,0.2611535554,0.0392504903,0.2261804286,0.0550884074
0.2,0.6,0.1663075606,0.3082800175,0.5254124219,0.0120745858,0.0266610297,0.0278825923,-0.0911476131,0.0794077368,0.2881186328,0.0418238885,0.2640261514,0.0587001944
0.2,0.65,0.160758023,0.2947931517,0.5444488253,0.0119278446,0.0280106601,0.0292282329,-0.0451374781,0.0835817223,0.3166732379,0.0438423493,0.3041027901,0.0615331218
0.2,0.7,0.1553905649,0.2738352912,0.570774144,0.0118373647,0.0292729741,0.0306897263,0.0231035616,0.0876742469,0.3561612159,0.0460345894,0.3595245136,0.0646099501
0.2,0.75,0.1501789178,0.2493565734,0.6004645089,0.0115758701,0.0309982949,0.0324950092,0.1017513622,0.0930867394,0.4006967633,0.0487425138,0.422030545,0.0684105456
0.2,0.8,0.1452062859,0.2155113597,0.6392823544,0.0113992374,0.0307701179,0.0323108219,0.2082596351,0.0924818001,0.4589235316,0.0484662328,0.5037523251,0.0680227828
0.2,0.85,0.1400042239,0.1747910647,0.6852047113,0.0112010442,0.0305554895,0.0323178408,0.3356225819,0.0921098765,0.527807067,0.0484767612,0.6004309712,0.0680375596
0.2,0.9,0.1349545489,0.1275254186,0.7375200325,0.0109776896,0.0285220067,0.0305047222,0.4824691952,0.086206868,0.6062800487,0.0457570833,0.7105684895,0.0642204678
0.2,0.95,0.1300347788,0.0671396401,0.8028255811,0.0108034531,0.0217267452,0.0242213576,0.6685463009,0.0660219815,0.7042383717,0.0363320364,0.848053855,0.0509923318
0.25,0.05,0.2057750312,0.3681642339,0.4260607348,0.0128433831,0.0154539045,0.015852508,-0.3102677331,0.0430922272,0.1394182267,0.0231635232,0.0110323468,0.0349214668
0.25,0.1,0.2008302174,0.3682304174,0.4309393652,0.0127843442,0.016341573,0.016876516,-0.3055214696,0.046150336,0.1468002062,0.0245771662,0.0217794745,0.0371772526
0.25,0.15,0.1961486128,0.3675346413,0.4363167458,0.0126899616,0.0168582765,0.0173284904,-0.2987525369,0.047790882,0.1547309923,0.0254736559,0.0336252985,0.0381729061
0.25,0.2,0.1915840665,0.3656874656,0.4427284679,0.0125627232,0.0173000784,0.0178376794,-0.2886464634,0.0493422807,0.164246151,0.0264243274,0.0477496717,0.0392945979
0.25,0.25,0.1870285304,0.3646936641,0.4482778055,0.012563739,0.0180095686,0.0186238676,-0.2811095226,0.0516809213,0.1725389278,0.0276585757,0.0599742996,0.0410264907
0.25,0.3,0.1827113347,0.3624608598,0.4548278055,0.0123878055,0.0190412903,0.0197383726,-0.270093914,0.0551118774,0.1823549675,0.0293446683,0.074403285,0.0434816323
0.25,0.35,0.1782273807,0.3599290802,0.4618435391,0.0123280474,0.0195118715,0.0202535568,-0.2580146213,0.0566651299,0.1928189015,0.0302423543,0.0898582343,0.0446165307
0.25,0.4,0.1739986253,0.3563453012,0.4696560735,0.012222557,0.0208536683,0.0217119246,-0.2430345289,0.061030272,0.2045303737,0.0324441534,0.1070684548,0.0478291671
0.25,0.45,0.169782192,0.3517824419,0.4784353662,0.0121026946,0.0217685881,0.0225804116,-0.2251295176,0.0638741191,0.2176845789,0.0337808439,0.1264083459,0.0497423559
0.25,0.5,0.1656837041,0.344127943,0.4901883529,0.0120219404,0.0227439037,0.0236414231,-0.1980675331,0.0670179639,0.2352933454,0.0354289367,0.1522989833,0.0520796565
0.25,0.55,0.1615573107,0.3358562859,0.5025864034,0.0119544887,0.0237142346,0.0245917757,-0.1691261685,0.0700188278,0.2538805986,0.0368841923,0.1796106306,0.0541731868
0.25,0.6,0.157698038,0.3263913397,0.5159106223,0.0117588325,0.0260054212,0.0269942311,-0.136872057,0.0772477627,0.2738683142,0.040482964,0.2089625331,0.0594655524
0.25,0.65,0.1536682454,0.3116364284,0.5346953262,0.0116188994,0.0260805545,0.0272171344,-0.0885775306,0.0776755528,0.3020429893,0.0408257017,0.2503433298,0.0599565858
0.25,0.7,0.149743889,0.2947570982,0.5554990127,0.0115168423,0.028113059,0.0293772192,-0.0340151837,0.0840586237,0.3332485191,0.0440658288,0.2961717407,0.0647150333
0.25,0.75,0.1458862659,0.2722593727,0.5818543614,0.0113926172,0.0296759706,0.0310046458,0.0373356161,0.0889283988,0.3727815421,0.0465069687,0.3542298998,0.0683000891
0.25,0.8,0.1420721945,0.2429140465,0.6150137591,0.0112280634,0.0313051415,0.0327225795,0.1291856661,0.0940225191,0.4225206386,0.0490838692,0.4272766886,0.0720845226
0.25,0.85,0.1380835041,0.2016155961,0.6603008998,0.011079706,0.030894699,0.0324843397,0.2570697076,0.0929896326,0.4904513497,0.0487265096,0.5270396649,0.0715597047
0.25,0.9,0.133810135,0.1493663084,0.7168235566,0.0108909527,0.0288884908,0.0307462846,0.4180909398,0.0872126466,0.5752353349,0.0461194268,0.6515533433,0.0677309455
0.25,0.95,0.1295170457,0.0808963634,0.7895865909,0.0107565594,0.0228965086,0.0252633248,0.627793864,0.0694895693,0.6843798863,0.0378949872,0.8118429254,0.0556525413
0.3,0.05,0.1790453762,0.3812726693,0.4396819545,0.0121479745,0.0158327122,0.0161580375,-0.3228633842,0.0446334921,0.1599296676,0.0234856492,0.0075650694,0.036836977
0.3,0.1,0.176387853,0.3806096726,0.4430024744,0.0120916905,0.0163349686,0.0166584691,-0.3182168708,0.0462718382,0.1648698075,0.0242862979,0.0151351666,0.0379778573
0.3,0.15,0.1735543364,0.3789453762,0.4475002874,0.0120474997,0.0167298395,0.017211648,-0.3103904649,0.0477259172,0.1715161647,0.0252785135,0.0253892482,0.0392389906
0.3,0.2,0.1709666208,0.3772829168,0.4517504624,0.0119894698,0.0171813162,0.0176626215,-0.3028153712,0.0491893848,0.1778193139,0.0260795568,0.0350787663,0.0402671167
0.3,0.25,0.1681884529,0.375723844,0.4560877031,0.011973469,0.0179116097,0.0184118741,-0.295359985,0.0515288072,0.1842842914,0.0272779957,0.0449667763,0.0419752573
0.3,0.3,0.1654991877,0.3731040365,0.4613967758,0.0118805724,0.018624677,0.0191295392,-0.2848112972,0.0538218669,0.1922093414,0.0284202664,0.0570703619,0.0436113851
0.3,0.35,0.1628912397,0.3696160085,0.4674927518,0.011834952,0.0194343415,0.0200279618,-0.2717392652,0.0564746612,0.2013180267,0.0298495074,0.0709679239,0.0456596025
0.3,0.4,0.1603109223,0.3662029243,0.4734861535,0.0117347838,0.0198821569,0.0204676053,-0.2589196951,0.0579064699,0.2102785304,0.0305728223,0.0846316376,0.0466618984
0.3,0.45,0.1575773307,0.3615455136,0.4808771557,0.0116743868,0.0209618169,0.0216171218,-0.2422138715,0.061365331,0.221348163,0.0323348305,0.1014815911,0.0492825579
0.3,0.5,0.155003874,0.3552315171,0.4897646088,0.0115976984,0.0219075187,0.0227177662,-0.2206984254,0.0644896407,0.2346773744,0.0339864914,0.1217431424,0.0517917991
0.3,0.55,0.1524385654,0.3480105474,0.4995508873,0.0115176245,0.0231289667,0.0239316723,-0.1964702074,0.0682829267,0.2493348413,0.0358702631,0.1440538292,0.0545592535
0.3,0.6,0.1498564234,0.338847988,0.5112955886,0.0114362044,0.0245662662,0.025479779,-0.1664003874,0.072849794,0.2669469445,0.038207269,0.1708293143,0.0580886158
0.3,0.65,0.1471972007,0.3272612097,0.5255415896,0.0114096935,0.0256886108,0.0267527154,-0.1289808298,0.0764603785,0.2883123844,0.0401290731,0.2033072443,0.060990647
0.3,0.7,0.1445581105,0.3119664834,0.5434754061,0.0112716956,0.0267954288,0.0278131029,-0.0804575606,0.0798409284,0.3152131092,0.0417196543,0.2441926295,0.0634081107
0.3,0.75,0.1418446513,0.2922228568,0.5659324919,0.0112244588,0.0293680467,0.0305874025,-0.0185132217,0.0879186193,0.3488987378,0.0458811038,0.2953901311,0.069732939
0.3,0.8,0.1389900775,0.2621423269,0.5988675956,0.0111015546,0.0296772399,0.0309956472,0.0745829418,0.0889951279,0.3983013934,0.0464934708,0.3704753423,0.0706636522
0.3,0.85,0.135990115,0.2243136216,0.6396962634,0.010994753,0.0313315025,0.0327249015,0.1910690202,0.0941327077,0.4595443952,0.0490873523,0.4635562438,0.0746059937
0.3,0.9,0.1327652212,0.1691857161,0.6980490627,0.0108452708,0.0308524022,0.0326357112,0.3596776306,0.0931195654,0.5470735941,0.0489535668,0.5965885335,0.0744026583
0.3,0.95,0.1291010372,0.094798063,0.7761008998,0.0107185554,0.0245897171,0.0267337468,0.5865047738,0.0744461544,0.6641513497,0.0401006202,0.7745305468,0.0609474026
0.35,0.05,0.1587011247,0.3907618345,0.4505370407,0.0115206758,0.0157142588,0.016023904,-0.3309866283,0.0445698567,0.1761655649,0.0233507345,0.0059415474,0.0375267072
0.35,0.1,0.1572164334,0.389165821,0.4536177456,0.0115633507,0.0161371236,0.0164642902,-0.3247138965,0.0459155414,0.1807101787,0.0241268259,0.0131563128,0.0385580567
0.35,0.15,0.155894039,0.3880997626,0.4560061985,0.0115228767,0.0165012889,0.0168990449,-0.3201933267,0.0471692165,0.1842532492,0.0248500421,0.0187498793,0.0395762175
0.35,0.2,0.1544637216,0.3863077606,0.4592285179,0.0115148859,0.017101099,0.0174824214,-0.3133870032,0.049055127,0.1890660335,0.0257445909,0.0262962948,0.0409424389
0.35,0.25,0.1530313172,0.3837530992,0.4632155836,0.0114601924,0.0176967665,0.0182043649,-0.3042906148,0.0510938151,0.19499482,0.0269255499,0.0356336853,0.042633173
0.35,0.3,0.1516254061,0.3812304174,0.4671441765,0.0114065159,0.0182024617,0.0186695643,-0.2953166583,0.0526632544,0.200873969,0.0276357229,0.0448341369,0.0437226331
0.35,0.35,0.1501966133,0.3787328168,0.4710705699,0.0113604019,0.0189859712,0.0195733959,-0.2863950637,0.0552633571,0.206728018,0.0290670455,0.0540294376,0.0458393346
0.35,0.4,0.1487647838,0.374743914,0.4764913022,0.0113610966,0.0197466521,0.020320825,-0.2729965259,0.057621527,0.2148025806,0.0303149702,0.0667243611,0.0475897541
0.35,0.45,0.1472741565,0.3696514496,0.4830743939,0.0113160563,0.0204850161,0.0210852141,-0.2562285054,0.0599622199,0.224651837,0.0315171,0.0821414377,0.0493798926
0.35,0.5,0.1458123469,0.3648318045,0.4893558485,0.0112909424,0.021366509,0.0219931092,-0.2403077606,0.0627318583,0.2340527243,0.0329358487,0.0968521043,0.0515061106
0.35,0.55,0.1443084104,0.3585801425,0.4971114471,0.0112394457,0.022684202,0.0233974858,-0.2200488378,0.0669112461,0.24568481,0.0350432709,0.1150150987,0.0547950487
0.35,0.6,0.1428315671,0.3499666708,0.5072017621,0.011212447,0.0236066459,0.0244019083,-0.1927315796,0.0698467168,0.2608152774,0.0365621067,0.1386458128,0.0571473263
0.35,0.65,0.1412729693,0.3385845414,0.5201424894,0.0111313355,0.024624367,0.0255349277,-0.1570265934,0.0731193615,0.2802156648,0.038295231,0.1689519658,0.0598007675
0.35,0.7,0.1397148588,0.3252072357,0.5350779055,0.0110369214,0.0269064006,0.0277532101,-0.1153365659,0.0800676032,0.3026173082,0.0416280361,0.2039295211,0.0649958081
0.35,0.75,0.1378610222,0.3041452762,0.5579937016,0.011027786,0.0282161756,0.0292995916,-0.0502968508,0.0843154165,0.3369905524,0.0439493874,0.2575964908,0.0686173106
0.35,0.8,0.1359823544,0.2784887528,0.5855288928,0.0110201827,0.0298232699,0.0310220818,0.0285513872,0.089335236,0.3782933392,0.0465331227,0.3220817161,0.0726512455
0.35,0.85,0.1338971132,0.2408277056,0.6252751812,0.0109102436,0.030147107,0.031476073,0.1436197701,0.0904834296,0.4379127718,0.0472141095,0.4151643588,0.0737144566
