pi,lambda,f0,f1,f2,sdf0,sdf1,sdf2,Q,sdQ,m
0.1,0.65,0.0492986753311674,0.1018957760559866,0.8488055486128491,0.0069289263774999,0.0157595331356559,0.0170892416217103,0.6450139965008759,0.0486083078930221,0.7732083229192737
0.1,0.7,0.0464546363409151,0.0762841789552612,0.8772611847038243,0.006860284551239,0.0134205242867768,0.0150593165680294,0.7246928267933017,0.0419003651415831,0.8158917770557363
0.1,0.75,0.0439522619345167,0.0661252186953258,0.8899225193701537,0.0064919927993932,0.0123615357605116,0.0138164393116023,0.757672081979502,0.0385395108326256,0.8348837790552306
0.1,0.8,0.041385403649088,0.047260684828793,0.9113539115221206,0.0063403412284574,0.0127021170058731,0.0142723409194556,0.8168325418645346,0.0396765749312019,0.867030867283181
0.1,0.85,0.0392659335166212,0.0357613096725823,0.9249727568107962,0.0061951401666611,0.0082694777757926,0.0101624557870179,0.8534501374656316,0.0267014113386033,0.8874591352161942
0.1,0.9,0.037381404648838,0.0220969757560614,0.9405216195951034,0.0060404879046703,0.008053483305481,0.0101310954479886,0.8963276680829806,0.0262380620589507,0.910782429392655
0.1,0.95,0.0355568607848041,0.0112066983254188,0.95323644088978,0.0059258188077989,0.0053832624978928,0.0079630761474173,0.9308230442389424,0.0187296011432031,0.92985466133467
0.15,0.05,0.1075121219695086,0.3448317920519871,0.5476560859785047,0.0095073874182721,0.0158511024541749,0.0166301892225135,-0.1420074981254696,0.0483323941308633,0.321484128967757
0.15,0.1,0.099247938015497,0.3315553611597102,0.5691967008247942,0.0099431137664293,0.0145943995037747,0.0156520940807523,-0.0939140214946262,0.0448408930883018,0.3537950512371913
0.15,0.15,0.0920029992501879,0.323908272931767,0.5840887278180458,0.0093034128685257,0.0173074502466852,0.0185945523045366,-0.0637278180454883,0.0532094527979072,0.3761330917270686
0.15,0.2,0.0850539865033745,0.3009522619345159,0.6139937515621089,0.0089288624543565,0.0167557145627208,0.0178736876706309,0.0120892276930769,0.0513851167960727,0.4209906273431634
0.15,0.25,0.0791394651337168,0.2892414396400892,0.6316190952261904,0.008622995106913,0.0192315545998475,0.020068205581994,0.0531362159460119,0.0585313147816891,0.4474286428392856
